id,name,description,direction,is_dwell_times_filtering_countline,is_anpr,is_speed,start_lat,start_long,end_lat,end_long,mean_lat,mean_lon
13452,S1_BootsBridge_NOT002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.932629,-1.1853,52.932678,-1.1852,52.9326535,-1.18525
13812,S3_DerbyRd_West_not002,,ANTICLOCKWISE_ONLY,False,False,True,52.944824,-1.18863,52.944897,-1.188695,52.9448605,-1.1886625
13813,S3_DerbyRd_Path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.944798,-1.188636,52.944817,-1.188644,52.944807499999996,-1.18864
13814,S2_DerbyRd_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.955082,-1.164586,52.955173,-1.164638,52.9551275,-1.164612
13818,S4_AbbeyBridge_Path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.946484,-1.171999,52.946507,-1.172029,52.9464955,-1.172014
13819,S4_AbbeyBridge_CyclePath_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.946495,-1.172055,52.946522,-1.172088,52.9465085,-1.1720715
13820,S4_AbbeyBridge_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.946507,-1.172117,52.946564,-1.172204,52.946535499999996,-1.1721605
13821,S4_AbbeyBridge_Path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.946564,-1.172204,52.946583,-1.172238,52.9465735,-1.172221
13823,S12_BeestonRd_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.938217,-1.18603,52.938309,-1.186129,52.938263,-1.1860795
13826,S5_BeestonRd_West_not002,,ANTICLOCKWISE_ONLY,False,False,True,52.939854,-1.182534,52.939899,-1.182583,52.9398765,-1.1825584999999998
13827,S6_BeestonRd_East_not002,,CLOCKWISE_ONLY,False,False,True,52.939919,-1.182546,52.939972,-1.182614,52.9399455,-1.1825800000000002
13829,S15_DerbyRd_West_not002,,CLOCKWISE_ONLY,False,False,True,52.944923,-1.188667,52.944958,-1.188687,52.9449405,-1.188677
13830,S15_DerbyRd_Path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.944984,-1.188731,52.945015,-1.188754,52.944999499999994,-1.1887425
