model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
B0,0,all,15,15min,628205,1.69358432,2.55935431,7.71618843,9.20631313,39
B0,0,all,30,30min,629026,1.75069118,2.65001130,7.97750044,9.54290676,37
B0,0,all,45,45min,629756,1.80404353,2.72094488,8.22114754,9.82922459,34
B0,0,all,60,60min,630423,1.85880983,2.79046965,8.47119808,10.12694740,35
B0,0,all,-1,mean,2517410,1.77686274,2.68167496,8.09684944,9.67679691,145
B0,0,am_peak,15,15min,88344,1.65850449,2.45837998,7.95347977,9.28322029,1
B0,0,am_peak,30,30min,88344,1.79871297,2.65490150,8.62586021,10.04881668,1
B0,0,am_peak,45,45min,88344,1.93925500,2.82384181,9.29983902,10.78348351,1
B0,0,am_peak,60,60min,88344,2.08768845,3.00755286,10.01166248,11.58004475,1
B0,0,am_peak,-1,mean,353376,1.87104034,2.74370146,8.97271061,10.42389107,4
B0,0,inter_peak,15,15min,176687,1.40580916,2.11898708,6.74166107,7.98602390,5
B0,0,inter_peak,30,30min,176687,1.44215643,2.18208671,6.91596699,8.21551800,5
B0,0,inter_peak,45,45min,176687,1.47320557,2.22503471,7.06486464,8.40162754,5
B0,0,inter_peak,60,60min,176687,1.50633991,2.26800871,7.22376347,8.58515930,5
B0,0,inter_peak,-1,mean,706748,1.45687783,2.19921851,6.98656464,8.29708290,20
B0,0,pm_peak,15,15min,87655,1.70871210,2.68915677,8.50148678,10.61815357,3
B0,0,pm_peak,30,30min,87655,1.81175840,2.89141965,9.01418114,11.34495926,3
B0,0,pm_peak,45,45min,87655,1.88620877,3.02260900,9.38459969,11.84127808,3
B0,0,pm_peak,60,60min,87655,1.94919944,3.13482761,9.69800186,12.28993607,3
B0,0,pm_peak,-1,mean,350620,1.83896959,2.93918276,9.14956665,11.52358246,12
B0,0,off_peak,15,15min,275519,1.88456666,2.79592252,7.98848724,9.51506805,30
B0,0,off_peak,30,30min,276340,1.91324008,2.83471584,8.11413288,9.65828037,28
B0,0,off_peak,45,45min,277070,1.94591212,2.87012267,8.25533390,9.79879093,25
B0,0,off_peak,60,60min,277737,1.98170888,2.90235996,8.40959358,9.96291161,26
B0,0,off_peak,-1,mean,1106666,1.93146491,2.85117507,8.19229221,9.73425770,109
B0,1,all,15,15min,628205,1.69294024,2.55782104,7.71325397,9.27793503,39
B0,1,all,30,30min,629026,1.74693215,2.64710426,7.96037149,9.62393665,37
B0,1,all,45,45min,629756,1.79839492,2.71693587,8.19540501,9.91575527,34
B0,1,all,60,60min,630423,1.85107422,2.78541803,8.43594360,10.22288036,35
B0,1,all,-1,mean,2517410,1.77241254,2.67825842,8.07657051,9.76058674,145
B0,1,am_peak,15,15min,88344,1.65776277,2.46345019,7.94992208,9.35789585,1
B0,1,am_peak,30,30min,88344,1.79529095,2.66175199,8.60944939,10.15487671,1
B0,1,am_peak,45,45min,88344,1.93891203,2.84011650,9.29819489,10.93693352,1
B0,1,am_peak,60,60min,88344,2.08728027,3.02734923,10.00970554,11.76118660,1
B0,1,am_peak,-1,mean,353376,1.86981153,2.75611210,8.96681786,10.55272293,4
B0,1,inter_peak,15,15min,176687,1.40471411,2.12300086,6.73640966,8.04042339,5
B0,1,inter_peak,30,30min,176687,1.43893087,2.18862033,6.90049839,8.28687572,5
B0,1,inter_peak,45,45min,176687,1.46876395,2.22710466,7.04356527,8.48177528,5
B0,1,inter_peak,60,60min,176687,1.50005078,2.26361942,7.19360352,8.67157650,5
B0,1,inter_peak,-1,mean,706748,1.45311487,2.20120192,6.96851826,8.37016296,20
B0,1,pm_peak,15,15min,87655,1.70514643,2.67374754,8.48374557,10.68620205,3
B0,1,pm_peak,30,30min,87655,1.80797911,2.88148618,8.99537754,11.46274376,3
B0,1,pm_peak,45,45min,87655,1.87614548,3.01622939,9.33453083,11.98536968,3
B0,1,pm_peak,60,60min,87655,1.93543112,3.12818694,9.62949944,12.46877575,3
B0,1,pm_peak,-1,mean,350620,1.83117545,2.92980719,9.11078835,11.65077209,12
B0,1,off_peak,15,15min,275519,1.88517201,2.79404140,7.99105310,9.59789276,30
B0,1,off_peak,30,30min,276340,1.90903914,2.82645512,8.09631729,9.72583103,28
B0,1,off_peak,45,45min,277070,1.93919861,2.85744166,8.22685242,9.84984303,25
B0,1,off_peak,60,60min,277737,1.97262681,2.88921022,8.37105274,10.01162529,26
B0,1,off_peak,-1,mean,1106666,1.92660630,2.84211302,8.17168427,9.79675293,109
B0,2,all,15,15min,628205,1.69000292,2.55814886,7.69987106,9.19377613,39
B0,2,all,30,30min,629026,1.74610865,2.65438509,7.95661879,9.53484440,37
B0,2,all,45,45min,629756,1.79666388,2.72395301,8.18751717,9.81878567,34
B0,2,all,60,60min,630423,1.84533286,2.78579164,8.40977859,10.09841919,35
B0,2,all,-1,mean,2517410,1.76960289,2.68201470,8.06376743,9.66189766,145
B0,2,am_peak,15,15min,88344,1.64749479,2.44609237,7.90068197,9.28678417,1
B0,2,am_peak,30,30min,88344,1.77723265,2.62478328,8.52284908,10.00909901,1
B0,2,am_peak,45,45min,88344,1.90984428,2.78197956,9.15879726,10.70495033,1
B0,2,am_peak,60,60min,88344,2.04602098,2.95517635,9.81184292,11.44792366,1
B0,2,am_peak,-1,mean,353376,1.84514809,2.70856667,8.84854317,10.36218739,4
B0,2,inter_peak,15,15min,176687,1.40070188,2.11235142,6.71716833,7.96327686,5
B0,2,inter_peak,30,30min,176687,1.43574858,2.18265104,6.88523722,8.20493221,5
B0,2,inter_peak,45,45min,176687,1.46780908,2.22699666,7.03898573,8.41482925,5
B0,2,inter_peak,60,60min,176687,1.49743903,2.26360512,7.18107796,8.59765434,5
B0,2,inter_peak,-1,mean,706748,1.45042467,2.19712424,6.95561790,8.29517365,20
B0,2,pm_peak,15,15min,87655,1.70103562,2.68541265,8.46329308,10.57998276,3
B0,2,pm_peak,30,30min,87655,1.80556262,2.89010596,8.98335457,11.33271599,3
B0,2,pm_peak,45,45min,87655,1.87656772,3.01208019,9.33663177,11.83418751,3
B0,2,pm_peak,60,60min,87655,1.93929327,3.12917352,9.64871502,12.30362415,3
B0,2,pm_peak,-1,mean,350620,1.83061469,2.93379068,9.10799789,11.51262856,12
B0,2,off_peak,15,15min,275519,1.88564801,2.80122304,7.99307060,9.51207161,30
B0,2,off_peak,30,30min,276340,1.91573834,2.85308504,8.12472820,9.66327667,28
B0,2,off_peak,45,45min,277070,1.94500756,2.89209056,8.25149727,9.79392910,25
B0,2,off_peak,60,60min,277737,1.97316074,2.91336513,8.37331963,9.92791176,26
B0,2,off_peak,-1,mean,1106666,1.92998612,2.86538458,8.18601894,9.72475815,109
B1,0,all,15,15min,628205,1.66336560,2.52386284,7.57850838,9.05014992,39
B1,0,all,30,30min,629026,1.71308541,2.60431075,7.80613947,9.34811401,37
B1,0,all,45,45min,629756,1.75968468,2.66431642,8.01900005,9.60319519,34
B1,0,all,60,60min,630423,1.80700040,2.72454119,8.23508549,9.86105537,35
B1,0,all,-1,mean,2517410,1.73585391,2.63040233,7.90997982,9.46602535,145
B1,0,am_peak,15,15min,88344,1.62007535,2.42075682,7.76918983,9.13279533,1
B1,0,am_peak,30,30min,88344,1.74674547,2.58913255,8.37664604,9.78474045,1
B1,0,am_peak,45,45min,88344,1.87456226,2.74039078,8.98960018,10.39833832,1
B1,0,am_peak,60,60min,88344,2.01576900,2.91482067,9.66676807,11.11137199,1
B1,0,am_peak,-1,mean,353376,1.81428814,2.67252660,8.70055103,10.10681057,4
B1,0,inter_peak,15,15min,176687,1.38073242,2.08929992,6.62140322,7.82908964,5
B1,0,inter_peak,30,30min,176687,1.40974891,2.14454913,6.76055479,8.02398396,5
B1,0,inter_peak,45,45min,176687,1.43812668,2.18032527,6.89664173,8.20404625,5
