model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
Historical Average,-1,all,15,15分钟,628205,1.76942301,2.72002029,8.06171989,9.57276344,39
Historical Average,-1,all,30,30分钟,629026,1.76292098,2.71062851,8.03322887,9.54262924,37
Historical Average,-1,all,45,45分钟,629756,1.75617099,2.70118618,8.00298882,9.50574112,34
Historical Average,-1,all,60,60分钟,630423,1.74922311,2.69037509,7.97177553,9.47342491,35
Historical Average,-1,all,-1,四时距汇总,2517410,1.75942457,2.70556045,8.01738739,9.52359009,145
Historical Average,-1,am_peak,15,15分钟,88342,1.77228081,2.67009974,8.47669601,9.75179195,1
Historical Average,-1,am_peak,30,30分钟,88342,1.77228081,2.67009974,8.47669601,9.75179195,1
Historical Average,-1,am_peak,45,45分钟,88342,1.77228081,2.67009974,8.47669601,9.75179195,1
Historical Average,-1,am_peak,60,60分钟,88342,1.77228081,2.67009974,8.47669601,9.75179195,1
Historical Average,-1,am_peak,-1,四时距汇总,353368,1.77228081,2.67009974,8.47669506,9.75179195,4
Historical Average,-1,inter_peak,15,15分钟,176681,1.47858131,2.26139092,7.08668232,8.25266361,4
Historical Average,-1,inter_peak,30,30分钟,176681,1.47858131,2.26139092,7.08668232,8.25266361,4
Historical Average,-1,inter_peak,45,45分钟,176681,1.47858131,2.26139092,7.08668232,8.25266361,4
Historical Average,-1,inter_peak,60,60分钟,176681,1.47858131,2.26139092,7.08668232,8.25266361,4
Historical Average,-1,inter_peak,-1,四时距汇总,706724,1.47858131,2.26139092,7.08668232,8.25266361,16
Historical Average,-1,pm_peak,15,15分钟,87674,1.95314562,3.11850977,9.73158360,11.86000061,4
Historical Average,-1,pm_peak,30,30分钟,87674,1.95314562,3.11850977,9.73158360,11.86000061,4
Historical Average,-1,pm_peak,45,45分钟,87674,1.95314562,3.11850977,9.73158360,11.86000061,4
Historical Average,-1,pm_peak,60,60分钟,87674,1.95314562,3.11850977,9.73158360,11.86000061,4
Historical Average,-1,pm_peak,-1,四时距汇总,350696,1.95314562,3.11850977,9.73158360,11.86000061,16
Historical Average,-1,off_peak,15,15分钟,275508,1.89655542,2.86522532,8.04470062,9.63408947,30
