model,period,horizon_min,horizon_label,n_seed,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WMAPE_mean,WMAPE_std,MAPE_mean,MAPE_std
Historical Average,all,15,15min,1,628205,1.76942301,0.00000000,2.72002029,0.00000000,8.06171989,0.00000000,9.57276344,0.00000000
Historical Average,all,30,30min,1,629026,1.76292098,0.00000000,2.71062851,0.00000000,8.03322887,0.00000000,9.54262924,0.00000000
Historical Average,all,45,45min,1,629756,1.75617099,0.00000000,2.70118618,0.00000000,8.00298882,0.00000000,9.50574112,0.00000000
Historical Average,all,60,60min,1,630423,1.74922311,0.00000000,2.69037509,0.00000000,7.97177553,0.00000000,9.47342491,0.00000000
Historical Average,all,-1,mean,1,2517410,1.75942457,0.00000000,2.70556045,0.00000000,8.01738739,0.00000000,9.52359009,0.00000000
Historical Average,am_peak,15,15min,1,88342,1.77228081,0.00000000,2.67009974,0.00000000,8.47669601,0.00000000,9.75179195,0.00000000
Historical Average,am_peak,30,30min,1,88342,1.77228081,0.00000000,2.67009974,0.00000000,8.47669601,0.00000000,9.75179195,0.00000000
Historical Average,am_peak,45,45min,1,88342,1.77228081,0.00000000,2.67009974,0.00000000,8.47669601,0.00000000,9.75179195,0.00000000
Historical Average,am_peak,60,60min,1,88342,1.77228081,0.00000000,2.67009974,0.00000000,8.47669601,0.00000000,9.75179195,0.00000000
Historical Average,am_peak,-1,mean,1,353368,1.77228081,0.00000000,2.67009974,0.00000000,8.47669506,0.00000000,9.75179195,0.00000000
Historical Average,inter_peak,15,15min,1,176681,1.47858131,0.00000000,2.26139092,0.00000000,7.08668232,0.00000000,8.25266361,0.00000000
Historical Average,inter_peak,30,30min,1,176681,1.47858131,0.00000000,2.26139092,0.00000000,7.08668232,0.00000000,8.25266361,0.00000000
Historical Average,inter_peak,45,45min,1,176681,1.47858131,0.00000000,2.26139092,0.00000000,7.08668232,0.00000000,8.25266361,0.00000000
Historical Average,inter_peak,60,60min,1,176681,1.47858131,0.00000000,2.26139092,0.00000000,7.08668232,0.00000000,8.25266361,0.00000000
Historical Average,inter_peak,-1,mean,1,706724,1.47858131,0.00000000,2.26139092,0.00000000,7.08668232,0.00000000,8.25266361,0.00000000
