model,split,horizon_min,scope,n,MAE,RMSE,WMAPE,MAPE,mape_excluded,seed,dataset_tag
RecentAverage,val,15,all,667817,1.847902774810791,2.812626361846924,8.48107635974884,10.117972642183304,92,-1,novfeb_eps0.3
RecentAverage,val,15,am_peak,93997,2.2508962154388428,3.4080958366394043,11.134590208530426,13.386031985282898,3,-1,novfeb_eps0.3
RecentAverage,val,15,pm_peak,93100,1.915296196937561,2.9936156272888184,9.659910947084427,11.731723695993423,3,-1,novfeb_eps0.3
RecentAverage,val,30,all,668731,1.9526052474975586,2.977407217025757,8.962386846542358,10.716072469949722,93,-1,novfeb_eps0.3
RecentAverage,val,30,am_peak,93997,2.5775415897369385,3.8657145500183105,12.750418484210968,15.429988503456116,3,-1,novfeb_eps0.3
RecentAverage,val,30,pm_peak,93100,2.0587174892425537,3.2317075729370117,10.383263975381851,12.627555429935455,3,-1,novfeb_eps0.3
RecentAverage,val,45,all,669586,2.0527210235595703,3.1304290294647217,9.42251831293106,11.284580826759338,93,-1,novfeb_eps0.3
RecentAverage,val,45,am_peak,93997,2.8608438968658447,4.242706298828125,14.151839911937714,17.266593873500824,3,-1,novfeb_eps0.3
RecentAverage,val,45,pm_peak,93100,2.167583703994751,3.415369749069214,10.932337492704391,13.364964723587036,3,-1,novfeb_eps0.3
RecentAverage,val,60,all,670368,2.147362232208252,3.271005153656006,9.855969250202179,11.812588572502136,91,-1,novfeb_eps0.3
RecentAverage,val,60,am_peak,93997,3.097743034362793,4.547293186187744,15.323717892169952,18.878786265850067,3,-1,novfeb_eps0.3
RecentAverage,val,60,pm_peak,93100,2.2436013221740723,3.5495762825012207,11.315736919641495,13.966044783592224,3,-1,novfeb_eps0.3
RecentAverage,val,-1,all,2676502,2.0003066062927246,3.0529000759124756,9.181203693151474,10.983703285455704,369,-1,novfeb_eps0.3
RecentAverage,val,-1,am_peak,375988,2.696756362915039,4.038480281829834,13.340142369270325,16.240350902080536,12,-1,novfeb_eps0.3
RecentAverage,val,-1,pm_peak,372400,2.096299648284912,3.3041605949401855,10.572812706232071,12.92257308959961,12,-1,novfeb_eps0.3
RecentAverage,test,15,all,628205,1.7716143131256104,2.700364828109741,8.071703463792801,9.56098735332489,39,-1,novfeb_eps0.3
RecentAverage,test,15,am_peak,88344,1.9627015590667725,2.9673967361450195,9.412278980016708,11.114565283060074,1,-1,novfeb_eps0.3
RecentAverage,test,15,pm_peak,87655,1.8014613389968872,2.8743951320648193,8.962948620319366,10.829531401395798,3,-1,novfeb_eps0.3
RecentAverage,test,30,all,629026,1.858307957649231,2.834644317626953,8.467885106801987,10.045808553695679,37,-1,novfeb_eps0.3
RecentAverage,test,30,am_peak,88344,2.222816228866577,3.328685760498047,10.659677535295486,12.626652419567108,1,-1,novfeb_eps0.3
RecentAverage,test,30,pm_peak,87655,1.9135797023773193,3.08477783203125,9.52078029513359,11.547356098890305,3,-1,novfeb_eps0.3
RecentAverage,test,45,all,629756,1.9394928216934204,2.9563817977905273,8.83839800953865,10.488363355398178,34,-1,novfeb_eps0.3
RecentAverage,test,45,am_peak,88344,2.457920551300049,3.640322208404541,11.787137389183044,14.027571678161621,1,-1,novfeb_eps0.3
RecentAverage,test,45,pm_peak,87655,1.9980885982513428,3.2418875694274902,9.941243380308151,12.117394804954529,3,-1,novfeb_eps0.3
RecentAverage,test,60,all,630423,2.0176749229431152,3.068173408508301,9.195197373628616,10.916326195001602,35,-1,novfeb_eps0.3
RecentAverage,test,60,am_peak,88344,2.6634066104888916,3.900416851043701,12.772560119628906,15.291284024715424,1,-1,novfeb_eps0.3
RecentAverage,test,60,pm_peak,87655,2.0585436820983887,3.3551673889160156,10.242030024528503,12.589912116527557,3,-1,novfeb_eps0.3
RecentAverage,test,-1,all,2517410,1.8968926668167114,2.893320322036743,8.643804490566254,10.253535211086273,145,-1,novfeb_eps0.3
RecentAverage,test,-1,am_peak,353376,2.3267111778259277,3.476736545562744,11.157913506031036,13.265018165111542,4,-1,novfeb_eps0.3
RecentAverage,test,-1,pm_peak,350620,1.942918300628662,3.144240140914917,9.666750580072403,11.771048605442047,12,-1,novfeb_eps0.3
