date,model,MAE,MAE_seed_std,n_evaluable_cells
2025-02-07,B5,1.66183305,0.00268074,157914
2025-02-07,HA,1.72618675,0.00000000,157914
2025-02-07,LSTM,1.85594475,0.00000000,157914
2025-02-07,STGCN,1.76244756,0.00241042,157914
2025-02-07,STSGCN,1.76625800,0.00000000,157914
2025-02-07,iTransformer,1.80511045,0.00000000,157914
2025-02-10,B5,1.70421704,0.00276840,156891
2025-02-10,HA,1.79177427,0.00000000,156891
2025-02-10,LSTM,1.90988052,0.00000000,156891
2025-02-10,STGCN,1.79552583,0.00410706,156891
2025-02-10,STSGCN,1.82475710,0.00000000,156891
2025-02-10,iTransformer,1.83078659,0.00000000,156891
2025-02-11,B5,1.71228604,0.00303332,157243
2025-02-11,HA,1.76334882,0.00000000,157243
2025-02-11,LSTM,1.96517408,0.00000000,157243
2025-02-11,STGCN,1.82817415,0.00344779,157243
2025-02-11,STSGCN,1.82783258,0.00000000,157243
2025-02-11,iTransformer,1.88620019,0.00000000,157243
2025-02-12,B5,1.71821213,0.00205974,157537
2025-02-12,HA,1.74937677,0.00000000,157537
2025-02-12,LSTM,1.96224821,0.00000000,157537
2025-02-12,STGCN,1.81428313,0.00280306,157537
2025-02-12,STSGCN,1.81721342,0.00000000,157537
2025-02-12,iTransformer,1.87141514,0.00000000,157537
2025-02-13,B5,1.65727663,0.00314819,157662
2025-02-13,HA,1.68984854,0.00000000,157662
2025-02-13,LSTM,1.85308087,0.00000000,157662
2025-02-13,STGCN,1.73032530,0.00301183,157662
2025-02-13,STSGCN,1.73388267,0.00000000,157662
2025-02-13,iTransformer,1.77382267,0.00000000,157662
2025-02-14,B5,1.63966529,0.00355244,158527
2025-02-14,HA,1.78723419,0.00000000,158527
2025-02-14,LSTM,1.75454855,0.00000000,158527
2025-02-14,STGCN,1.70741026,0.00454651,158527
2025-02-14,STSGCN,1.73615694,0.00000000,158527
2025-02-14,iTransformer,1.71615720,0.00000000,158527
2025-02-17,B5,1.62170466,0.01581215,156798
2025-02-17,HA,1.79022229,0.00000000,156798
2025-02-17,LSTM,1.68712711,0.00000000,156798
2025-02-17,STGCN,1.65032419,0.00478870,156798
2025-02-17,STSGCN,1.66073704,0.00000000,156798
2025-02-17,iTransformer,1.65357172,0.00000000,156798
2025-02-18,B5,1.66337669,0.02281734,156925
2025-02-18,HA,1.75758326,0.00000000,156925
2025-02-18,LSTM,1.76056778,0.00000000,156925
2025-02-18,STGCN,1.71736403,0.00344824,156925
2025-02-18,STSGCN,1.71565163,0.00000000,156925
2025-02-18,iTransformer,1.71916521,0.00000000,156925
2025-02-19,B5,1.65570271,0.01026585,157322
2025-02-19,HA,1.74104428,0.00000000,157322
2025-02-19,LSTM,1.77551913,0.00000000,157322
2025-02-19,STGCN,1.72648323,0.00179022,157322
2025-02-19,STSGCN,1.71851265,0.00000000,157322
2025-02-19,iTransformer,1.73813140,0.00000000,157322
2025-02-20,B5,1.64262752,0.00251951,157772
2025-02-20,HA,1.75950420,0.00000000,157772
2025-02-20,LSTM,1.78634000,0.00000000,157772
2025-02-20,STGCN,1.73302813,0.00355614,157772
2025-02-20,STSGCN,1.73873854,0.00000000,157772
2025-02-20,iTransformer,1.74332070,0.00000000,157772
2025-02-21,B5,1.59151320,0.00476525,158258
2025-02-21,HA,1.78806341,0.00000000,158258
2025-02-21,LSTM,1.69023430,0.00000000,158258
2025-02-21,STGCN,1.66261788,0.00342391,158258
2025-02-21,STSGCN,1.66862750,0.00000000,158258
2025-02-21,iTransformer,1.66178548,0.00000000,158258
2025-02-24,B5,1.67621875,0.00247567,155518
2025-02-24,HA,1.76223207,0.00000000,155518
2025-02-24,LSTM,1.88484085,0.00000000,155518
2025-02-24,STGCN,1.78512224,0.00245365,155518
2025-02-24,STSGCN,1.78858435,0.00000000,155518
2025-02-24,iTransformer,1.82343137,0.00000000,155518
2025-02-25,B5,1.69814364,0.00558436,156871
2025-02-25,HA,1.74059081,0.00000000,156871
2025-02-25,LSTM,1.94048607,0.00000000,156871
2025-02-25,STGCN,1.80583350,0.00425174,156871
2025-02-25,STSGCN,1.79900956,0.00000000,156871
2025-02-25,iTransformer,1.85670984,0.00000000,156871
2025-02-26,B5,1.84362920,0.00353502,157473
2025-02-26,HA,1.90770483,0.00000000,157473
2025-02-26,LSTM,2.12922263,0.00000000,157473
2025-02-26,STGCN,1.96962448,0.00332974,157473
2025-02-26,STSGCN,1.94588315,0.00000000,157473
2025-02-26,iTransformer,2.02680683,0.00000000,157473
2025-02-27,B5,1.67005010,0.00225019,156897
2025-02-27,HA,1.69930589,0.00000000,156897
2025-02-27,LSTM,1.91754103,0.00000000,156897
2025-02-27,STGCN,1.76435177,0.00493354,156897
2025-02-27,STSGCN,1.76895094,0.00000000,156897
2025-02-27,iTransformer,1.82699120,0.00000000,156897
2025-02-28,B5,1.60527531,0.00249989,157802
2025-02-28,HA,1.69673407,0.00000000,157802
2025-02-28,LSTM,1.78307724,0.00000000,157802
2025-02-28,STGCN,1.69109201,0.00326914,157802
2025-02-28,STSGCN,1.71717680,0.00000000,157802
2025-02-28,iTransformer,1.72262061,0.00000000,157802
