date,model,seed,MAE,n_evaluable_cells
2025-02-07,HA,-1,1.72618675,157914
2025-02-10,HA,-1,1.79177427,156891
2025-02-11,HA,-1,1.76334882,157243
2025-02-12,HA,-1,1.74937677,157537
2025-02-13,HA,-1,1.68984854,157662
2025-02-14,HA,-1,1.78723419,158527
2025-02-17,HA,-1,1.79022229,156798
2025-02-18,HA,-1,1.75758326,156925
2025-02-19,HA,-1,1.74104428,157322
2025-02-20,HA,-1,1.75950420,157772
2025-02-21,HA,-1,1.78806341,158258
2025-02-24,HA,-1,1.76223207,155518
2025-02-25,HA,-1,1.74059081,156871
2025-02-26,HA,-1,1.90770483,157473
2025-02-27,HA,-1,1.69930589,156897
2025-02-28,HA,-1,1.69673407,157802
2025-02-07,LSTM,0,1.85594475,157914
2025-02-10,LSTM,0,1.90988052,156891
2025-02-11,LSTM,0,1.96517408,157243
2025-02-12,LSTM,0,1.96224821,157537
2025-02-13,LSTM,0,1.85308087,157662
2025-02-14,LSTM,0,1.75454855,158527
2025-02-17,LSTM,0,1.68712711,156798
2025-02-18,LSTM,0,1.76056778,156925
2025-02-19,LSTM,0,1.77551913,157322
2025-02-20,LSTM,0,1.78634000,157772
2025-02-21,LSTM,0,1.69023430,158258
2025-02-24,LSTM,0,1.88484085,155518
2025-02-25,LSTM,0,1.94048607,156871
2025-02-26,LSTM,0,2.12922263,157473
2025-02-27,LSTM,0,1.91754103,156897
2025-02-28,LSTM,0,1.78307724,157802
2025-02-07,STGCN,0,1.76240468,157914
2025-02-10,STGCN,0,1.80011642,156891
2025-02-11,STGCN,0,1.83273017,157243
2025-02-12,STGCN,0,1.81797647,157537
2025-02-13,STGCN,0,1.73422813,157662
2025-02-14,STGCN,0,1.70268416,158527
2025-02-17,STGCN,0,1.64468348,156798
2025-02-18,STGCN,0,1.71379876,156925
2025-02-19,STGCN,0,1.72450531,157322
2025-02-20,STGCN,0,1.72806907,157772
2025-02-21,STGCN,0,1.66133106,158258
2025-02-24,STGCN,0,1.78833377,155518
2025-02-25,STGCN,0,1.80990887,156871
2025-02-26,STGCN,0,1.97433090,157473
2025-02-27,STGCN,0,1.77120376,156897
2025-02-28,STGCN,0,1.69550800,157802
2025-02-07,STGCN,1,1.75951707,157914
2025-02-10,STGCN,1,1.79014885,156891
2025-02-11,STGCN,1,1.82740045,157243
2025-02-12,STGCN,1,1.81118941,157537
2025-02-13,STGCN,1,1.72689652,157662
2025-02-14,STGCN,1,1.70599782,158527
2025-02-17,STGCN,1,1.64989889,156798
2025-02-18,STGCN,1,1.71626532,156925
2025-02-19,STGCN,1,1.72884083,157322
2025-02-20,STGCN,1,1.73478317,157772
2025-02-21,STGCN,1,1.65921867,158258
2025-02-24,STGCN,1,1.78237844,155518
2025-02-25,STGCN,1,1.79996705,156871
2025-02-26,STGCN,1,1.96740532,157473
2025-02-27,STGCN,1,1.75978673,156897
2025-02-28,STGCN,1,1.69006944,157802
2025-02-07,STGCN,2,1.76542091,157914
2025-02-10,STGCN,2,1.79631221,156891
2025-02-11,STGCN,2,1.82439184,157243
2025-02-12,STGCN,2,1.81368351,157537
2025-02-13,STGCN,2,1.72985125,157662
2025-02-14,STGCN,2,1.71354878,158527
2025-02-17,STGCN,2,1.65639019,156798
2025-02-18,STGCN,2,1.72202802,156925
2025-02-19,STGCN,2,1.72610354,157322
2025-02-20,STGCN,2,1.73623216,157772
2025-02-21,STGCN,2,1.66730392,158258
2025-02-24,STGCN,2,1.78465450,155518
2025-02-25,STGCN,2,1.80762458,156871
2025-02-26,STGCN,2,1.96713722,157473
2025-02-27,STGCN,2,1.76206481,156897
2025-02-28,STGCN,2,1.68769860,157802
2025-02-07,STSGCN,0,1.76625800,157914
2025-02-10,STSGCN,0,1.82475710,156891
2025-02-11,STSGCN,0,1.82783258,157243
2025-02-12,STSGCN,0,1.81721342,157537
2025-02-13,STSGCN,0,1.73388267,157662
2025-02-14,STSGCN,0,1.73615694,158527
2025-02-17,STSGCN,0,1.66073704,156798
2025-02-18,STSGCN,0,1.71565163,156925
2025-02-19,STSGCN,0,1.71851265,157322
2025-02-20,STSGCN,0,1.73873854,157772
2025-02-21,STSGCN,0,1.66862750,158258
2025-02-24,STSGCN,0,1.78858435,155518
2025-02-25,STSGCN,0,1.79900956,156871
2025-02-26,STSGCN,0,1.94588315,157473
2025-02-27,STSGCN,0,1.76895094,156897
2025-02-28,STSGCN,0,1.71717680,157802
2025-02-07,iTransformer,0,1.80511045,157914
2025-02-10,iTransformer,0,1.83078659,156891
2025-02-11,iTransformer,0,1.88620019,157243
2025-02-12,iTransformer,0,1.87141514,157537
2025-02-13,iTransformer,0,1.77382267,157662
2025-02-14,iTransformer,0,1.71615720,158527
2025-02-17,iTransformer,0,1.65357172,156798
2025-02-18,iTransformer,0,1.71916521,156925
2025-02-19,iTransformer,0,1.73813140,157322
2025-02-20,iTransformer,0,1.74332070,157772
2025-02-21,iTransformer,0,1.66178548,158258
2025-02-24,iTransformer,0,1.82343137,155518
2025-02-25,iTransformer,0,1.85670984,156871
2025-02-26,iTransformer,0,2.02680683,157473
2025-02-27,iTransformer,0,1.82699120,156897
2025-02-28,iTransformer,0,1.72262061,157802
2025-02-07,B5,0,1.65842426,157914
2025-02-10,B5,0,1.70726573,156891
2025-02-11,B5,0,1.71113145,157243
2025-02-12,B5,0,1.71647596,157537
2025-02-13,B5,0,1.65428710,157662
2025-02-14,B5,0,1.63473094,158527
2025-02-17,B5,0,1.64337659,156798
2025-02-18,B5,0,1.69557512,156925
2025-02-19,B5,0,1.65445316,157322
2025-02-20,B5,0,1.63977695,157772
2025-02-21,B5,0,1.58509791,158258
2025-02-24,B5,0,1.67479753,155518
2025-02-25,B5,0,1.69481230,156871
2025-02-26,B5,0,1.84044290,157473
2025-02-27,B5,0,1.66728687,156897
2025-02-28,B5,0,1.60174048,157802
2025-02-07,B5,1,1.66497433,157914
2025-02-10,B5,1,1.70481992,156891
2025-02-11,B5,1,1.71644127,157243
2025-02-12,B5,1,1.72110581,157537
2025-02-13,B5,1,1.66162860,157662
2025-02-14,B5,1,1.64295030,158527
2025-02-17,B5,1,1.61564171,156798
2025-02-18,B5,1,1.64911926,156925
2025-02-19,B5,1,1.66885388,157322
2025-02-20,B5,1,1.64590418,157772
2025-02-21,B5,1,1.59650815,158258
2025-02-24,B5,1,1.67970037,155518
2025-02-25,B5,1,1.70601046,156871
2025-02-26,B5,1,1.84855855,157473
2025-02-27,B5,1,1.67279863,156897
2025-02-28,B5,1,1.60698867,157802
2025-02-07,B5,2,1.66210055,157914
2025-02-10,B5,2,1.70056546,156891
2025-02-11,B5,2,1.70928538,157243
2025-02-12,B5,2,1.71705461,157537
2025-02-13,B5,2,1.65591419,157662
2025-02-14,B5,2,1.64131463,158527
2025-02-17,B5,2,1.60609567,156798
2025-02-18,B5,2,1.64543569,156925
2025-02-19,B5,2,1.64380109,157322
2025-02-20,B5,2,1.64220142,157772
2025-02-21,B5,2,1.59293354,158258
2025-02-24,B5,2,1.67415833,155518
2025-02-25,B5,2,1.69360816,156871
2025-02-26,B5,2,1.84188616,157473
2025-02-27,B5,2,1.67006481,156897
2025-02-28,B5,2,1.60709679,157802
