baseline,candidate,n_days,baseline_mean_MAE,candidate_mean_MAE,mean_MAE_difference,median_MAE_difference,relative_MAE_improvement_pct,improved_days,worsened_days,tied_days,bootstrap_mean_diff_ci95_low,bootstrap_mean_diff_ci95_high,wilcoxon_statistic,p_value_two_sided,p_value_holm,significant_0.05_holm
HA,LSTM,16,1.75942215,1.85348957,-0.09406742,-0.12035751,-5.34649498,3,13,0,-0.14474490,-0.03975341,16.00000000,0.00515747,0.03094482,True
HA,STGCN,16,1.75942215,1.75900048,0.00042167,-0.01332086,0.02396657,7,9,0,-0.02957514,0.03360304,62.00000000,0.78195190,0.99084473,False
HA,STSGCN,16,1.75942215,1.76424830,-0.00482615,-0.02966756,-0.27430318,6,10,0,-0.03262150,0.02716835,54.00000000,0.49542236,0.99084473,False
HA,iTransformer,16,1.75942215,1.79100166,-0.03157951,-0.05010581,-1.79487960,6,10,0,-0.07158863,0.01121134,44.00000000,0.23120117,0.69360352,False
HA,B5,16,1.75942215,1.67260825,0.08681391,0.08567744,4.93422836,16,0,0,0.06450762,0.11125411,0.00000000,0.00003052,0.00045776,True
LSTM,STGCN,16,1.85348957,1.75900048,0.09448909,0.09660790,5.09790245,16,0,0,0.07247860,0.11574867,0.00000000,0.00003052,0.00045776,True
LSTM,STSGCN,16,1.85348957,1.76424830,0.08924127,0.08740509,4.81477035,16,0,0,0.06528504,0.11395715,0.00000000,0.00003052,0.00045776,True
LSTM,iTransformer,16,1.85348957,1.79100166,0.06248791,0.06093305,3.37136549,16,0,0,0.05117402,0.07384292,0.00000000,0.00003052,0.00045776,True
LSTM,B5,16,1.85348957,1.67260825,0.18088132,0.19495797,9.75896098,16,0,0,0.14877123,0.21201307,0.00000000,0.00003052,0.00045776,True
STGCN,STSGCN,16,1.75900048,1.76424830,-0.00524782,-0.00368390,-0.29834124,5,11,0,-0.01191864,0.00118040,37.00000000,0.11666870,0.46667480,False
STGCN,iTransformer,16,1.75900048,1.79100166,-0.03200118,-0.03678495,-1.81928219,1,15,0,-0.04262549,-0.02114021,1.00000000,0.00006104,0.00045776,True
STGCN,B5,16,1.75900048,1.67260825,0.08639223,0.09085470,4.91143890,16,0,0,0.07428255,0.09766852,0.00000000,0.00003052,0.00045776,True
STSGCN,iTransformer,16,1.76424830,1.79100166,-0.02675336,-0.02723289,-1.51641685,3,13,0,-0.04098137,-0.01265653,19.00000000,0.00918579,0.04592896,True
STSGCN,B5,16,1.76424830,1.67260825,0.09164006,0.09895106,5.19428345,16,0,0,0.07978321,0.10214709,0.00000000,0.00003052,0.00045776,True
iTransformer,B5,16,1.79100166,1.67260825,0.11839342,0.12195742,6.61045820,16,0,0,0.09655990,0.13888146,0.00000000,0.00003052,0.00045776,True
