date,model,MAE,MAE_seed_std,n_evaluable_cells
2025-02-07,A3,1.71894658,0.00631098,157914
2025-02-07,A4,1.71740882,0.00121742,157914
2025-02-07,B5,1.66183305,0.00268074,157914
2025-02-07,STAEformer,1.64572561,0.00246693,157914
2025-02-07,STGCN,1.76244756,0.00241042,157914
2025-02-10,A3,1.76169531,0.00747811,156891
2025-02-10,A4,1.76523236,0.00875399,156891
2025-02-10,B5,1.70421704,0.00276840,156891
2025-02-10,STAEformer,1.69317253,0.00867921,156891
2025-02-10,STGCN,1.79552583,0.00410706,156891
2025-02-11,A3,1.76109656,0.00304806,157243
2025-02-11,A4,1.75977071,0.00186173,157243
2025-02-11,B5,1.71228604,0.00303332,157243
2025-02-11,STAEformer,1.68297728,0.00173318,157243
2025-02-11,STGCN,1.82817415,0.00344779,157243
2025-02-12,A3,1.74559240,0.00281096,157537
2025-02-12,A4,1.74963435,0.00469699,157537
2025-02-12,B5,1.71821213,0.00205974,157537
2025-02-12,STAEformer,1.67685743,0.00125971,157537
2025-02-12,STGCN,1.81428313,0.00280306,157537
2025-02-13,A3,1.68244259,0.00087370,157662
2025-02-13,A4,1.67643074,0.00526499,157662
2025-02-13,B5,1.65727663,0.00314819,157662
2025-02-13,STAEformer,1.61071078,0.00121589,157662
2025-02-13,STGCN,1.73032530,0.00301183,157662
2025-02-14,A3,1.68060692,0.00533144,158527
2025-02-14,A4,1.67437557,0.00362187,158527
2025-02-14,B5,1.63966529,0.00355244,158527
2025-02-14,STAEformer,1.59434974,0.00297340,158527
2025-02-14,STGCN,1.70741026,0.00454651,158527
2025-02-17,A3,1.64612754,0.00474912,156798
2025-02-17,A4,1.63415388,0.00834274,156798
2025-02-17,B5,1.62170466,0.01581215,156798
2025-02-17,STAEformer,1.57580741,0.00112444,156798
2025-02-17,STGCN,1.65032419,0.00478870,156798
2025-02-18,A3,1.68800271,0.00790573,156925
2025-02-18,A4,1.66999912,0.00209328,156925
2025-02-18,B5,1.66337669,0.02281734,156925
2025-02-18,STAEformer,1.63075872,0.00371160,156925
2025-02-18,STGCN,1.71736403,0.00344824,156925
2025-02-19,A3,1.69919284,0.00311137,157322
2025-02-19,A4,1.68053071,0.00266807,157322
2025-02-19,B5,1.65570271,0.01026585,157322
2025-02-19,STAEformer,1.64260844,0.00635779,157322
2025-02-19,STGCN,1.72648323,0.00179022,157322
2025-02-20,A3,1.69033241,0.00858638,157772
2025-02-20,A4,1.67784715,0.00670992,157772
2025-02-20,B5,1.64262752,0.00251951,157772
2025-02-20,STAEformer,1.63537419,0.00430433,157772
2025-02-20,STGCN,1.73302813,0.00355614,157772
2025-02-21,A3,1.61434440,0.01090869,158258
2025-02-21,A4,1.60288719,0.00291047,158258
2025-02-21,B5,1.59151320,0.00476525,158258
2025-02-21,STAEformer,1.57054818,0.00473869,158258
2025-02-21,STGCN,1.66261788,0.00342391,158258
2025-02-24,A3,1.72751673,0.00099039,155518
2025-02-24,A4,1.72238557,0.00175965,155518
2025-02-24,B5,1.67621875,0.00247567,155518
2025-02-24,STAEformer,1.66058775,0.00535926,155518
2025-02-24,STGCN,1.78512224,0.00245365,155518
2025-02-25,A3,1.75600708,0.00389033,156871
2025-02-25,A4,1.74974473,0.00323548,156871
2025-02-25,B5,1.69814364,0.00558436,156871
2025-02-25,STAEformer,1.66409894,0.00426200,156871
2025-02-25,STGCN,1.80583350,0.00425174,156871
2025-02-26,A3,1.89909184,0.00512968,157473
2025-02-26,A4,1.90388179,0.00294482,157473
2025-02-26,B5,1.84362920,0.00353502,157473
2025-02-26,STAEformer,1.80037761,0.00578973,157473
2025-02-26,STGCN,1.96962448,0.00332974,157473
2025-02-27,A3,1.74529433,0.01900948,156897
2025-02-27,A4,1.73325535,0.01752148,156897
2025-02-27,B5,1.67005010,0.00225019,156897
2025-02-27,STAEformer,1.63786125,0.00289546,156897
2025-02-27,STGCN,1.76435177,0.00493354,156897
2025-02-28,A3,1.68132714,0.01098784,157802
2025-02-28,A4,1.66862698,0.00401429,157802
2025-02-28,B5,1.60527531,0.00249989,157802
2025-02-28,STAEformer,1.58364515,0.00262851,157802
2025-02-28,STGCN,1.69109201,0.00326914,157802
