date,model,seed,MAE,n_evaluable_cells
2025-02-07,STGCN,0,1.76240468,157914
2025-02-10,STGCN,0,1.80011642,156891
2025-02-11,STGCN,0,1.83273017,157243
2025-02-12,STGCN,0,1.81797647,157537
2025-02-13,STGCN,0,1.73422813,157662
2025-02-14,STGCN,0,1.70268416,158527
2025-02-17,STGCN,0,1.64468348,156798
2025-02-18,STGCN,0,1.71379876,156925
2025-02-19,STGCN,0,1.72450531,157322
2025-02-20,STGCN,0,1.72806907,157772
2025-02-21,STGCN,0,1.66133106,158258
2025-02-24,STGCN,0,1.78833377,155518
2025-02-25,STGCN,0,1.80990887,156871
2025-02-26,STGCN,0,1.97433090,157473
2025-02-27,STGCN,0,1.77120376,156897
2025-02-28,STGCN,0,1.69550800,157802
2025-02-07,STGCN,1,1.75951707,157914
2025-02-10,STGCN,1,1.79014885,156891
2025-02-11,STGCN,1,1.82740045,157243
2025-02-12,STGCN,1,1.81118941,157537
2025-02-13,STGCN,1,1.72689652,157662
2025-02-14,STGCN,1,1.70599782,158527
2025-02-17,STGCN,1,1.64989889,156798
2025-02-18,STGCN,1,1.71626532,156925
2025-02-19,STGCN,1,1.72884083,157322
2025-02-20,STGCN,1,1.73478317,157772
2025-02-21,STGCN,1,1.65921867,158258
2025-02-24,STGCN,1,1.78237844,155518
2025-02-25,STGCN,1,1.79996705,156871
2025-02-26,STGCN,1,1.96740532,157473
2025-02-27,STGCN,1,1.75978673,156897
2025-02-28,STGCN,1,1.69006944,157802
2025-02-07,STGCN,2,1.76542091,157914
2025-02-10,STGCN,2,1.79631221,156891
2025-02-11,STGCN,2,1.82439184,157243
2025-02-12,STGCN,2,1.81368351,157537
2025-02-13,STGCN,2,1.72985125,157662
2025-02-14,STGCN,2,1.71354878,158527
2025-02-17,STGCN,2,1.65639019,156798
2025-02-18,STGCN,2,1.72202802,156925
2025-02-19,STGCN,2,1.72610354,157322
2025-02-20,STGCN,2,1.73623216,157772
2025-02-21,STGCN,2,1.66730392,158258
2025-02-24,STGCN,2,1.78465450,155518
2025-02-25,STGCN,2,1.80762458,156871
2025-02-26,STGCN,2,1.96713722,157473
2025-02-27,STGCN,2,1.76206481,156897
2025-02-28,STGCN,2,1.68769860,157802
2025-02-07,A3,0,1.71950352,157914
2025-02-10,A3,0,1.77159107,156891
2025-02-11,A3,0,1.76348674,157243
2025-02-12,A3,0,1.74377036,157537
2025-02-13,A3,0,1.68254399,157662
2025-02-14,A3,0,1.68641424,158527
2025-02-17,A3,0,1.63955712,156798
2025-02-18,A3,0,1.68358731,156925
2025-02-19,A3,0,1.69516897,157322
2025-02-20,A3,0,1.69018388,157772
2025-02-21,A3,0,1.61247563,158258
2025-02-24,A3,0,1.72721863,155518
2025-02-25,A3,0,1.75054741,156871
2025-02-26,A3,0,1.90001857,157473
2025-02-27,A3,0,1.71856582,156897
2025-02-28,A3,0,1.66633320,157802
2025-02-07,A3,1,1.71095383,157914
2025-02-10,A3,1,1.75997829,156891
2025-02-11,A3,1,1.76300812,157243
2025-02-12,A3,1,1.74956322,157537
2025-02-13,A3,1,1.68132544,157662
2025-02-14,A3,1,1.68186772,158527
2025-02-17,A3,1,1.65061831,156798
2025-02-18,A3,1,1.69910586,156925
2025-02-19,A3,1,1.70274663,157322
2025-02-20,A3,1,1.67989135,157772
2025-02-21,A3,1,1.60201681,158258
2025-02-24,A3,1,1.72648060,155518
2025-02-25,A3,1,1.75932515,156871
2025-02-26,A3,1,1.90485954,157473
2025-02-27,A3,1,1.75616252,156897
2025-02-28,A3,1,1.69235754,157802
2025-02-07,A3,2,1.72638237,157914
2025-02-10,A3,2,1.75351655,156891
2025-02-11,A3,2,1.75679481,157243
2025-02-12,A3,2,1.74344361,157537
2025-02-13,A3,2,1.68345833,157662
2025-02-14,A3,2,1.67353880,158527
2025-02-17,A3,2,1.64820719,156798
2025-02-18,A3,2,1.68131495,156925
2025-02-19,A3,2,1.69966292,157322
2025-02-20,A3,2,1.70092201,157772
2025-02-21,A3,2,1.62854075,158258
2025-02-24,A3,2,1.72885096,155518
2025-02-25,A3,2,1.75814867,156871
2025-02-26,A3,2,1.89239740,157473
2025-02-27,A3,2,1.76115465,156897
2025-02-28,A3,2,1.68529069,157802
2025-02-07,A4,0,1.71742654,157914
2025-02-10,A4,0,1.77681196,156891
2025-02-11,A4,0,1.75969839,157243
2025-02-12,A4,0,1.74732363,157537
2025-02-13,A4,0,1.66900468,157662
2025-02-14,A4,0,1.67819357,158527
2025-02-17,A4,0,1.64175260,156798
2025-02-18,A4,0,1.66738522,156925
2025-02-19,A4,0,1.68000484,157322
2025-02-20,A4,0,1.67686594,157772
2025-02-21,A4,0,1.59996462,158258
2025-02-24,A4,0,1.71991622,155518
2025-02-25,A4,0,1.74990344,156871
2025-02-26,A4,0,1.90541756,157473
2025-02-27,A4,0,1.71885598,156897
2025-02-28,A4,0,1.66725922,157802
2025-02-07,A4,1,1.71889091,157914
2025-02-10,A4,1,1.76323509,156891
2025-02-11,A4,1,1.76208615,157243
2025-02-12,A4,1,1.75618303,157537
2025-02-13,A4,1,1.68061328,157662
2025-02-14,A4,1,1.67542362,158527
2025-02-17,A4,1,1.62253809,156798
2025-02-18,A4,1,1.67010260,156925
2025-02-19,A4,1,1.67755783,157322
2025-02-20,A4,1,1.68651164,157772
2025-02-21,A4,1,1.60183847,158258
2025-02-24,A4,1,1.72335315,155518
2025-02-25,A4,1,1.75362563,156871
2025-02-26,A4,1,1.90646636,157473
2025-02-27,A4,1,1.72299087,156897
2025-02-28,A4,1,1.66453922,157802
2025-02-07,A4,2,1.71590900,157914
2025-02-10,A4,2,1.75565004,156891
2025-02-11,A4,2,1.75752759,157243
2025-02-12,A4,2,1.74539638,157537
2025-02-13,A4,2,1.67967427,157662
2025-02-14,A4,2,1.66950953,158527
2025-02-17,A4,2,1.63817096,156798
2025-02-18,A4,2,1.67250955,156925
2025-02-19,A4,2,1.68402946,157322
2025-02-20,A4,2,1.67016387,157772
2025-02-21,A4,2,1.60685849,158258
2025-02-24,A4,2,1.72388732,155518
2025-02-25,A4,2,1.74570513,156871
2025-02-26,A4,2,1.89976144,157473
2025-02-27,A4,2,1.75791919,156897
2025-02-28,A4,2,1.67408252,157802
2025-02-07,B5,0,1.65842426,157914
2025-02-10,B5,0,1.70726573,156891
2025-02-11,B5,0,1.71113145,157243
2025-02-12,B5,0,1.71647596,157537
2025-02-13,B5,0,1.65428710,157662
2025-02-14,B5,0,1.63473094,158527
2025-02-17,B5,0,1.64337659,156798
2025-02-18,B5,0,1.69557512,156925
2025-02-19,B5,0,1.65445316,157322
2025-02-20,B5,0,1.63977695,157772
2025-02-21,B5,0,1.58509791,158258
2025-02-24,B5,0,1.67479753,155518
2025-02-25,B5,0,1.69481230,156871
2025-02-26,B5,0,1.84044290,157473
2025-02-27,B5,0,1.66728687,156897
2025-02-28,B5,0,1.60174048,157802
2025-02-07,B5,1,1.66497433,157914
2025-02-10,B5,1,1.70481992,156891
2025-02-11,B5,1,1.71644127,157243
2025-02-12,B5,1,1.72110581,157537
2025-02-13,B5,1,1.66162860,157662
2025-02-14,B5,1,1.64295030,158527
2025-02-17,B5,1,1.61564171,156798
2025-02-18,B5,1,1.64911926,156925
2025-02-19,B5,1,1.66885388,157322
2025-02-20,B5,1,1.64590418,157772
2025-02-21,B5,1,1.59650815,158258
2025-02-24,B5,1,1.67970037,155518
2025-02-25,B5,1,1.70601046,156871
2025-02-26,B5,1,1.84855855,157473
2025-02-27,B5,1,1.67279863,156897
2025-02-28,B5,1,1.60698867,157802
2025-02-07,B5,2,1.66210055,157914
2025-02-10,B5,2,1.70056546,156891
2025-02-11,B5,2,1.70928538,157243
2025-02-12,B5,2,1.71705461,157537
2025-02-13,B5,2,1.65591419,157662
2025-02-14,B5,2,1.64131463,158527
2025-02-17,B5,2,1.60609567,156798
2025-02-18,B5,2,1.64543569,156925
2025-02-19,B5,2,1.64380109,157322
2025-02-20,B5,2,1.64220142,157772
2025-02-21,B5,2,1.59293354,158258
2025-02-24,B5,2,1.67415833,155518
2025-02-25,B5,2,1.69360816,156871
2025-02-26,B5,2,1.84188616,157473
2025-02-27,B5,2,1.67006481,156897
2025-02-28,B5,2,1.60709679,157802
2025-02-07,STAEformer,0,1.64646673,157914
2025-02-10,STAEformer,0,1.68860412,156891
2025-02-11,STAEformer,0,1.68244493,157243
2025-02-12,STAEformer,0,1.67596602,157537
2025-02-13,STAEformer,0,1.61205840,157662
2025-02-14,STAEformer,0,1.59791112,158527
2025-02-17,STAEformer,0,1.57422173,156798
2025-02-18,STAEformer,0,1.63584590,156925
2025-02-19,STAEformer,0,1.64877594,157322
2025-02-20,STAEformer,0,1.64074290,157772
2025-02-21,STAEformer,0,1.57457137,158258
2025-02-24,STAEformer,0,1.65447986,155518
2025-02-25,STAEformer,0,1.66028857,156871
2025-02-26,STAEformer,0,1.79267085,157473
2025-02-27,STAEformer,0,1.64113700,156897
2025-02-28,STAEformer,0,1.58493042,157802
2025-02-07,STAEformer,1,1.64240265,157914
2025-02-10,STAEformer,1,1.70532286,156891
2025-02-11,STAEformer,1,1.68117142,157243
2025-02-12,STAEformer,1,1.67596734,157537
2025-02-13,STAEformer,1,1.60911202,157662
2025-02-14,STAEformer,1,1.59450531,158527
2025-02-17,STAEformer,1,1.57649660,156798
2025-02-18,STAEformer,1,1.62933517,156925
2025-02-19,STAEformer,1,1.64519072,157322
2025-02-20,STAEformer,1,1.63020515,157772
2025-02-21,STAEformer,1,1.57317805,158258
2025-02-24,STAEformer,1,1.66752791,155518
2025-02-25,STAEformer,1,1.66195965,156871
2025-02-26,STAEformer,1,1.80662596,157473
2025-02-27,STAEformer,1,1.63835120,156897
2025-02-28,STAEformer,1,1.57998180,157802
2025-02-07,STAEformer,2,1.64830744,157914
2025-02-10,STAEformer,2,1.68559062,156891
2025-02-11,STAEformer,2,1.68531549,157243
2025-02-12,STAEformer,2,1.67863894,157537
2025-02-13,STAEformer,2,1.61096191,157662
2025-02-14,STAEformer,2,1.59063280,158527
2025-02-17,STAEformer,2,1.57670391,156798
2025-02-18,STAEformer,2,1.62709510,156925
2025-02-19,STAEformer,2,1.63385868,157322
2025-02-20,STAEformer,2,1.63517451,157772
2025-02-21,STAEformer,2,1.56389511,158258
2025-02-24,STAEformer,2,1.65975547,155518
2025-02-25,STAEformer,2,1.67004859,156871
2025-02-26,STAEformer,2,1.80183601,157473
2025-02-27,STAEformer,2,1.63409555,156897
2025-02-28,STAEformer,2,1.58602321,157802
