baseline,candidate,n_days,baseline_mean_MAE,candidate_mean_MAE,mean_MAE_difference,median_MAE_difference,relative_MAE_improvement_pct,improved_days,worsened_days,tied_days,bootstrap_mean_diff_ci95_low,bootstrap_mean_diff_ci95_high,wilcoxon_statistic,p_value_two_sided,p_value_holm,significant_0.05_holm
STGCN,A3,16,1.75900048,1.71860109,0.04039939,0.04309835,2.29672450,16,0,0,0.03078640,0.04981462,0.00000000,0.00003052,0.00030518,True
STGCN,A4,16,1.75900048,1.71163531,0.04736517,0.05062973,2.69273185,16,0,0,0.03951982,0.05487061,0.00000000,0.00003052,0.00030518,True
STGCN,B5,16,1.75900048,1.67260825,0.08639223,0.09085470,4.91143890,16,0,0,0.07405258,0.09759577,0.00000000,0.00003052,0.00030518,True
STGCN,STAEformer,16,1.75900048,1.64409131,0.11490917,0.11489123,6.53263989,16,0,0,0.10335492,0.12718682,0.00000000,0.00003052,0.00030518,True
A3,A4,16,1.71860109,1.71163531,0.00696577,0.00624684,0.40531636,13,3,0,0.00343651,0.01047485,12.00000000,0.00213623,0.00213623,True
A3,B5,16,1.71860109,1.67260825,0.04599284,0.04825771,2.67617885,16,0,0,0.03772900,0.05424046,0.00000000,0.00003052,0.00030518,True
A3,STAEformer,16,1.71860109,1.64409131,0.07450977,0.07102597,4.33548965,16,0,0,0.06623818,0.08297672,0.00000000,0.00003052,0.00030518,True
A4,B5,16,1.71163531,1.67260825,0.03902707,0.04069322,2.28010413,16,0,0,0.02952999,0.04820486,0.00000000,0.00003052,0.00030518,True
A4,STAEformer,16,1.71163531,1.64409131,0.06754400,0.07187152,3.94616776,16,0,0,0.05767199,0.07723780,0.00000000,0.00003052,0.00030518,True
B5,STAEformer,16,1.67260825,1.64409131,0.02851693,0.03074880,1.70493798,16,0,0,0.02205939,0.03500123,0.00000000,0.00003052,0.00030518,True
