target_time_utc,target_time_local,target_interval_start_utc,target_interval_start_local,13812_anti_clockwise,13812_clockwise,13814_anti_clockwise,13814_clockwise,13820_anti_clockwise,13820_clockwise,13823_anti_clockwise,13823_clockwise,13826_anti_clockwise,13827_clockwise,13829_clockwise,13837_clockwise,15673_clockwise,15675_anti_clockwise,15675_clockwise,15681_anti_clockwise,15681_clockwise,15682_anti_clockwise,15682_clockwise,15685_clockwise,15687_anti_clockwise,15687_clockwise,15692_anti_clockwise,15693_clockwise,22660_clockwise,22712_anti_clockwise,22712_clockwise,22713_anti_clockwise,22713_clockwise,22715_anti_clockwise,22716_clockwise,22718_anti_clockwise,22718_clockwise,22730_anti_clockwise,22730_clockwise,22744_clockwise,25759_anti_clockwise,40853_anti_clockwise,40853_clockwise,45293_anti_clockwise,45294_clockwise,45298_anti_clockwise,45298_clockwise,45299_anti_clockwise,45301_anti_clockwise,45301_clockwise,45303_clockwise,45306_anti_clockwise,45306_clockwise,45311_anti_clockwise,45311_clockwise,45317_anti_clockwise,45318_clockwise,45326_clockwise,45523_anti_clockwise,47162_anti_clockwise,47163_clockwise,47166_anti_clockwise,47507_anti_clockwise,47519_anti_clockwise,47520_clockwise,47522_clockwise,47523_anti_clockwise,47523_clockwise,47524_anti_clockwise,47524_clockwise,47526_anti_clockwise,47526_clockwise,47528_anti_clockwise,47530_anti_clockwise,47532_anti_clockwise,47534_anti_clockwise,47535_anti_clockwise,47535_clockwise,47538_anti_clockwise,47542_anti_clockwise,47548_anti_clockwise,47551_anti_clockwise,47554_anti_clockwise,47557_anti_clockwise,47572_clockwise,47575_clockwise,47581_clockwise,47585_anti_clockwise,47586_clockwise,47589_anti_clockwise,47589_clockwise,47592_anti_clockwise,47592_clockwise,47594_anti_clockwise,47597_anti_clockwise,47597_clockwise,47598_clockwise,47607_anti_clockwise,47623_anti_clockwise,47625_anti_clockwise,47625_clockwise,47626_clockwise,47629_anti_clockwise,47631_anti_clockwise,47632_clockwise,47634_clockwise,47784_anti_clockwise,47789_anti_clockwise,47789_clockwise,47792_anti_clockwise,47792_clockwise,47798_clockwise,47801_anti_clockwise,47801_clockwise,47803_clockwise,47805_anti_clockwise,49226_anti_clockwise,49226_clockwise,49229_anti_clockwise,49229_clockwise,49233_anti_clockwise,49235_clockwise,49247_clockwise,49253_anti_clockwise,49255_clockwise,49259_anti_clockwise,49261_clockwise,49269_anti_clockwise,49269_clockwise,49289_anti_clockwise,49306_clockwise,49308_clockwise,49312_clockwise,49313_anti_clockwise,49315_anti_clockwise,49560_clockwise,49790_anti_clockwise,49791_anti_clockwise,49791_clockwise,49794_anti_clockwise,49794_clockwise,49796_anti_clockwise,49798_anti_clockwise,49800_anti_clockwise,49802_anti_clockwise,49806_anti_clockwise,49809_anti_clockwise,49811_anti_clockwise,49811_clockwise,49824_anti_clockwise,49825_anti_clockwise,49825_clockwise,49826_anti_clockwise,49826_clockwise,49829_clockwise,49844_anti_clockwise,49915_anti_clockwise,52421_anti_clockwise,52632_anti_clockwise
2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,21.451250,25.596666,23.577000,20.561819,16.290001,21.440001,29.327499,30.733749,31.433750,28.385000,27.176001,23.400000,18.342857,33.599998,36.955002,17.510000,15.265000,24.995714,29.372499,20.639999,30.530001,29.010000,25.072001,17.374445,29.841539,25.461666,16.775000,15.110000,6.240000,23.665001,18.884285,21.070000,21.243334,7.850000,23.620001,14.778749,33.540001,22.467501,24.480000,31.845556,33.490002,34.565716,30.309999,20.104546,33.180000,27.750000,17.754286,21.218750,16.670000,28.664444,25.383333,28.703333,19.205000,31.969999,18.287500,20.959999,10.525000,28.065001,29.219999,37.294285,42.037998,19.755714,30.952499,26.735001,17.089500,25.686666,31.014999,18.771250,27.160999,27.235001,31.415001,38.434284,21.146667,16.687778,25.545000,17.173334,40.209999,36.939999,26.129999,18.870001,18.308889,22.387501,28.540001,30.340000,17.783333,27.996666,19.565001,26.625000,22.910000,24.137501,6.400000,29.113335,16.494999,23.090000,24.621666,17.629999,9.710000,16.829445,24.570526,26.770000,26.452499,31.850000,26.352501,29.121429,24.327999,22.922501,22.687141,12.556666,21.464001,22.464285,15.251667,29.764999,31.365000,3.780000,26.698181,33.716000,28.562084,23.475714,28.664545,21.450001,15.136000,27.590000,22.278000,23.982307,18.076250,36.332306,30.632143,19.967501,12.253333,6.302750,32.505714,25.338751,15.506000,27.250000,29.559473,21.713333,14.866250,22.478333,18.692499,32.564285,27.532858,14.692500,16.911249,28.257143,21.689167,23.102667,27.456667,30.440001,25.392857,28.209999,18.389999,23.334286,15.501364,33.245716,20.608696
2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,21.611111,24.733334,22.713333,20.585455,14.656000,12.008750,31.459999,33.893333,30.850000,25.700001,25.746250,22.910000,16.139999,32.351665,34.422001,13.005000,16.155001,24.057142,25.340000,18.555000,33.945000,26.350000,22.462000,21.317499,26.867647,21.587778,22.817499,8.520000,17.315001,25.680000,20.181580,28.030001,21.986666,25.080000,16.780001,11.530000,35.962502,19.879999,25.181252,34.467499,26.030001,29.015833,30.629999,26.634167,30.895454,26.105000,20.061111,19.660000,17.639999,24.764999,26.853333,26.760000,29.000000,30.805832,21.432501,18.766666,9.202500,25.389999,31.055000,37.223331,50.124001,21.281429,29.487499,27.760000,12.705000,24.793333,31.195000,16.817499,26.612499,25.459999,29.853333,34.596668,17.323000,18.203333,26.216000,16.723333,40.561428,35.290001,28.080000,20.400833,18.414616,22.763334,26.650000,28.660000,22.030001,29.805000,16.893333,37.223331,35.680000,26.410000,36.910000,18.320000,16.240000,23.145000,25.323334,0.380000,13.213333,16.806000,24.391111,34.304001,26.285000,34.500000,28.299999,29.780001,24.248333,22.903332,22.733749,15.621250,21.162500,13.711667,18.514444,23.795000,25.131666,15.970000,23.764000,26.957500,35.355000,23.465000,25.386429,36.618000,15.670000,32.750000,22.516666,22.841333,14.654285,38.800835,28.781666,25.193750,12.382000,7.378000,31.219999,23.115000,17.548334,26.665001,27.758461,22.510000,13.980000,24.240000,17.898001,30.861111,33.537998,11.170000,15.918181,24.396250,22.428749,23.276154,20.065001,24.590000,27.510000,28.604000,16.257500,24.680000,16.863703,27.450001,22.270769
2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,19.000999,29.785000,23.957777,18.898571,17.166666,11.233334,36.520000,29.411667,32.451248,25.190001,30.360001,16.102501,18.511110,34.667500,34.811001,15.813334,21.559999,20.174000,31.709999,16.787500,32.526669,23.690001,26.545713,22.522858,25.297142,23.456875,24.194000,15.080000,23.940001,25.715000,20.405001,28.130001,22.730000,14.763333,20.313334,16.080000,29.010000,20.737499,23.110001,28.362499,32.299999,31.186666,28.442501,23.042727,28.987499,24.180000,18.366667,24.070000,20.462500,26.622000,28.466667,24.816668,25.071667,29.641666,22.055000,18.396999,10.674000,26.930000,32.889999,34.511002,43.554443,20.822144,31.900000,23.686666,25.559999,29.973333,29.788000,21.820000,25.827499,20.950001,31.389999,38.119999,19.725000,19.343750,23.846666,20.333334,40.912857,30.366667,23.219999,19.219999,20.583000,22.834286,22.603636,26.190001,20.825001,28.154285,25.217501,38.966667,27.366667,25.340000,32.486668,15.280000,18.977499,30.379999,27.441668,16.410000,11.968000,17.709999,24.740000,29.491667,25.964500,38.525002,25.980000,27.469999,23.763334,25.254999,25.853333,17.773333,17.883333,20.007778,15.182500,29.094286,24.441668,16.896250,26.799999,24.903999,22.100000,25.613333,27.747778,28.812500,14.522500,18.317499,21.516251,24.728750,15.891429,39.861874,25.030001,23.796249,12.357500,8.943334,31.900000,24.100000,15.203750,27.020000,29.909286,25.886667,13.657499,24.025000,18.277143,31.546249,32.351112,8.448334,16.101765,28.385000,20.551250,20.868462,14.852500,11.830000,9.860000,20.100000,16.660910,25.642500,17.187084,26.969999,15.446800
2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,25.077499,27.532501,23.724445,21.248667,17.552000,12.010000,36.312500,35.655453,31.218571,28.304001,29.752501,11.852500,15.332000,29.820000,29.799999,19.603333,18.680000,22.790001,21.004286,15.020000,28.045000,28.920000,23.907000,21.757500,26.340000,24.122499,20.778334,15.758333,21.880001,25.750000,22.461876,28.230000,21.420000,18.625000,23.846666,10.250000,30.360001,20.959999,23.681667,28.168571,28.096666,30.136154,26.959999,23.375000,32.967144,29.988890,20.445715,21.125000,23.285000,26.936666,26.230000,26.016666,21.143333,25.780001,23.663334,17.030001,10.297143,26.553333,30.567499,41.484001,35.945000,17.943333,31.309999,23.241667,16.158001,18.466000,28.940001,18.126667,25.540001,22.094999,29.295000,37.926666,15.542500,22.969999,26.870001,18.750000,37.038334,29.230000,27.620001,19.487272,18.882727,26.348000,25.034546,28.684999,23.219999,22.213333,17.105000,15.180000,21.490000,24.555000,19.620001,18.770000,20.146667,22.004999,25.093750,13.600000,16.059999,20.336666,24.381428,28.513334,25.643999,36.595001,27.343334,35.529999,26.240000,23.104000,18.700001,13.083000,24.674999,17.952223,16.928333,26.475000,26.900000,17.822500,28.201000,34.625000,28.450001,21.601250,26.783077,24.583334,14.493333,28.382500,18.285000,21.776667,17.117144,36.184376,29.426666,28.664286,11.474286,7.318889,33.004547,24.271000,16.493847,22.680000,31.427000,27.646000,13.660000,20.923334,19.172142,30.570999,29.719999,8.118750,16.976667,22.962999,23.093334,23.430714,18.854000,24.322500,25.100000,25.250000,17.322500,19.360001,18.939285,32.033333,19.695000
2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,21.413334,25.280001,22.885000,20.277143,17.708000,10.080000,37.410000,29.780001,32.138332,26.037777,29.542856,12.550000,17.885000,34.820000,33.549999,14.726666,18.933332,24.375000,28.610001,13.997500,27.200001,22.100000,26.100000,11.300000,27.363636,24.701000,21.485001,16.436666,19.820000,27.129999,19.810909,20.396667,23.763334,18.687500,25.968334,10.670000,30.381248,18.244999,23.889999,27.232857,33.383335,29.924667,27.785000,25.955000,39.013332,24.907499,16.350000,22.567499,16.330000,21.972000,30.134001,22.150000,20.219999,30.923334,22.650667,16.072857,8.706667,23.129999,35.619999,37.407776,38.009998,18.458334,31.792000,25.300835,25.502001,10.090000,28.982500,19.896000,26.056786,24.166666,30.190001,34.410000,25.775000,23.174999,30.023333,18.652000,35.297142,30.645000,28.344999,19.900000,18.082857,24.264999,23.282858,30.036667,23.559999,23.320000,14.422500,39.048332,24.540001,24.474001,20.799999,26.440001,27.156666,23.590000,26.298571,17.724001,15.135000,16.927999,24.580910,31.887501,25.416000,36.722000,27.273750,29.122999,29.600000,21.686666,23.568001,21.443333,22.875999,17.282499,12.978333,26.947500,23.216000,18.748749,25.231112,25.547501,26.420000,25.462500,24.238333,25.356667,14.353333,26.469999,20.525000,19.981176,14.741250,42.371113,28.137272,32.943333,12.758750,5.694445,29.809999,24.441999,17.406000,18.426666,26.816668,27.135000,13.650000,22.690001,19.988750,27.578333,35.466000,10.940000,16.166666,23.688572,20.903999,23.611000,23.500000,28.230000,27.760000,30.400000,15.245000,22.565001,16.229231,37.110001,23.884546
2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,21.122000,27.203333,23.764210,22.408890,15.811666,10.030000,29.051428,32.459999,28.205555,28.102501,26.730000,8.280000,17.883333,33.935001,33.830002,19.896000,17.950001,26.067142,28.243334,12.975000,25.953333,39.860001,25.385454,19.360001,26.590910,21.388750,15.107500,12.986111,17.760000,25.120001,19.577499,21.348333,23.129999,18.750000,28.090000,11.011250,24.892500,16.103334,25.799999,25.698750,36.873333,28.668571,26.240000,17.636667,29.297142,27.197500,20.818001,17.983334,17.757143,27.296000,31.750000,30.374001,21.623333,28.530001,21.638000,17.415001,5.419091,26.820000,29.049999,37.625000,39.445000,18.326666,29.325001,27.360001,23.488890,16.683334,29.025000,23.136667,25.902500,27.558001,30.825001,30.893333,23.166250,23.379999,23.026667,20.715714,36.652000,32.904999,21.730000,20.850000,20.316364,21.958096,28.501249,26.907143,23.900000,27.730000,14.773334,34.622501,23.075001,25.886667,36.047501,24.629999,29.750000,23.313334,29.250000,17.580000,14.880000,16.389999,26.643999,28.963333,26.240000,37.299999,27.129999,30.155001,21.330000,19.895000,19.280001,13.111111,23.879999,18.809999,16.010000,27.172501,30.938334,19.674999,28.674999,31.495001,27.200001,20.650000,28.452726,31.615000,13.746667,26.856667,20.014000,22.797333,15.966250,39.758572,29.129999,23.510000,10.800000,4.070000,30.457500,15.656667,16.746363,26.112499,29.904444,10.235000,13.930000,17.920000,20.206249,31.178333,29.450001,8.795000,14.427143,23.097500,19.777143,23.468334,12.063334,17.709999,17.347500,19.299999,15.541250,26.617500,16.392000,34.380001,20.682858
2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,23.094999,29.126667,23.587692,23.511667,14.430000,14.665000,33.377998,27.889999,33.935001,27.409821,27.059999,8.280000,17.360001,32.470001,30.823334,13.970000,17.340000,30.417500,27.041668,20.073334,28.420000,26.445000,25.202999,24.059999,23.852728,20.635555,20.817499,9.535555,15.700000,23.980000,18.833750,22.299999,18.410000,17.695000,28.665001,11.352500,29.510000,18.450001,25.879999,31.153749,33.423332,19.100000,27.690001,19.497499,29.043333,27.167999,16.771999,18.706667,14.760000,25.049999,30.260000,25.746666,16.075001,30.959999,20.795000,16.142000,10.001819,26.635000,31.203333,34.911430,41.837776,19.405455,28.646000,21.840000,22.889999,23.276667,38.455002,19.228001,25.549999,22.852501,29.969999,27.870001,15.718889,24.638000,22.740000,18.427500,35.548889,32.785000,29.143333,18.990000,19.014000,23.600000,25.125000,30.730000,24.016666,28.386250,18.777500,29.285000,26.730000,24.895000,21.730000,21.692499,27.251667,26.936001,27.424999,16.910000,15.265000,17.062000,23.170000,35.009998,24.422001,35.433998,27.574165,27.568571,20.946667,22.650000,20.799999,15.625000,18.716000,12.120000,15.077500,25.459999,28.094000,22.146667,27.696667,21.917143,30.606001,28.340000,26.870001,29.266666,15.287500,29.639999,21.483334,23.030001,16.180000,35.305714,24.920000,23.915001,12.800000,3.040000,32.185001,22.400000,17.566999,14.050000,29.104000,30.924999,14.005000,23.347500,23.510000,27.480000,30.999001,9.829166,13.954286,24.593750,19.511999,21.854000,21.146000,25.805000,23.252001,24.897999,15.285000,20.160000,17.289259,26.823999,21.262857
2025-02-07T02:05:00Z,2025-02-07T02:05:00+0000,2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,19.408333,31.049999,23.459999,22.877501,14.095000,11.807500,27.546667,33.054287,33.825714,26.717142,30.806667,8.280000,16.958889,28.320000,35.421669,15.005001,18.340000,23.183332,25.840000,18.280001,30.580000,36.419998,21.222000,20.620001,28.527779,23.692499,19.405001,6.085000,25.480000,17.559999,17.399000,28.206667,20.799999,16.639999,29.240000,11.693750,29.540001,17.986668,26.060001,35.764000,31.872917,31.730000,24.709999,21.907499,29.748571,26.761667,20.236666,20.504999,11.550000,22.763334,28.459999,17.530001,29.396667,31.094999,20.150000,18.450001,6.097500,25.860001,33.356667,34.307999,39.077000,19.664000,32.009998,25.426666,24.646667,18.924999,30.590000,21.583334,25.461250,23.004999,35.627499,40.624001,24.288334,18.368572,21.719999,17.745001,32.250000,29.457500,29.338333,20.285999,19.983334,23.759167,27.446667,26.953333,24.133333,29.042500,19.660000,33.055000,29.889999,25.730000,28.447500,18.754999,27.251667,23.395000,20.753334,17.605000,15.045000,16.764999,21.818750,29.549999,29.905001,32.119999,27.902500,28.527143,23.483334,24.776667,22.135714,16.170000,17.200001,18.128000,16.754999,21.235001,22.123333,23.420000,25.881001,27.492222,26.599667,19.837999,24.712000,35.110001,14.371667,24.732857,21.024286,21.340000,15.485455,32.515999,28.916250,31.011250,14.675000,6.525714,30.815001,22.049999,18.055000,18.389999,30.791111,27.723333,14.120000,18.790001,18.355000,28.331249,32.578335,10.863334,14.662857,23.297274,22.938334,21.178888,22.283001,25.010000,13.350000,30.496000,15.876667,27.365000,17.396999,27.308571,19.889999
2025-02-07T02:10:00Z,2025-02-07T02:10:00+0000,2025-02-07T02:05:00Z,2025-02-07T02:05:00+0000,20.952999,24.049999,23.501875,23.984444,17.654444,13.043333,31.291666,32.900002,34.273998,26.033333,27.688000,8.790000,15.940000,28.860001,40.020000,16.040001,16.110001,25.424999,21.559999,24.115000,30.180000,32.043331,25.476250,21.665556,27.334000,19.482000,22.544001,11.607500,18.379999,11.140000,20.288422,15.770000,20.980000,9.690000,24.160000,12.035000,23.260000,19.296667,22.511667,32.396667,30.322500,31.799999,26.459999,20.886000,28.177778,22.280001,20.508572,23.025999,12.273334,25.289000,29.345556,25.413334,25.139999,37.869999,18.593334,18.362000,12.191112,24.466000,28.860001,36.709999,42.507500,20.353333,31.629999,24.976667,22.172501,26.240000,31.584999,22.059999,25.903334,28.680000,32.560001,34.858002,15.706000,18.495001,24.190001,15.975000,42.419998,26.129999,30.240000,17.395000,19.684999,24.318182,29.907499,31.219999,24.250000,28.400000,18.735001,36.825001,28.157499,26.684999,35.165001,15.817500,27.251667,24.643333,27.812500,18.299999,20.040001,17.285000,22.033751,30.920000,24.356667,36.982857,28.863750,31.025999,23.183750,26.373333,21.016666,12.800000,22.254286,17.090000,21.883333,24.139999,26.842501,21.153334,26.401539,21.590000,22.593334,27.042000,25.917273,26.986666,14.008572,27.945000,23.270477,23.703125,14.790909,38.368332,30.795713,15.626667,11.868000,6.420000,30.103333,20.373333,16.826666,13.707500,31.171333,27.408001,14.191667,22.077499,22.530001,29.482500,36.750000,9.340000,15.379412,25.413334,20.434999,20.526667,23.420000,21.773333,24.750000,30.119556,18.000000,23.002501,17.002058,28.695000,20.895000
2025-02-07T02:15:00Z,2025-02-07T02:15:00+0000,2025-02-07T02:10:00Z,2025-02-07T02:10:00+0000,20.940001,21.559999,23.888824,21.757778,13.616667,10.971429,36.709999,33.630001,32.567780,28.450001,26.174999,8.720000,16.022499,34.252499,42.474998,16.045000,21.170000,26.478889,25.299999,13.655000,28.780001,27.666666,23.924000,20.427500,27.691818,25.014999,23.822500,11.434999,17.253334,19.950001,20.263334,29.395000,22.301666,23.170000,25.410000,13.940000,23.820000,14.500000,25.145000,30.055714,29.613251,32.166668,29.369999,24.611429,30.924999,28.643999,21.362619,19.027500,14.646667,26.312500,26.889999,17.166666,17.602501,28.660000,21.072500,17.997999,10.591000,24.410000,27.865999,39.608749,40.692501,20.788572,30.192499,26.840000,26.240000,28.125999,32.915001,20.900000,26.306667,21.526667,33.922001,37.092003,24.090000,23.292500,26.397142,15.537500,44.130001,32.750000,24.809999,19.906666,17.454287,26.432858,30.355455,26.355000,24.628334,26.785999,14.623333,33.866665,23.943333,27.075714,26.270000,12.880000,27.251667,22.133333,24.195000,18.010000,15.280000,18.577999,23.198889,33.743999,24.836666,33.723331,21.000000,31.517000,22.205999,25.166000,20.823334,16.969999,21.570000,17.763334,17.685715,24.775000,26.077499,21.813334,29.821817,26.709999,19.299999,28.830000,26.179232,32.544998,14.515000,25.855000,25.516666,23.910000,16.667000,38.301430,24.816000,31.209999,12.683333,1.696667,33.529999,27.290001,16.059999,23.400000,36.302502,35.900002,14.014999,22.225000,20.706923,27.166000,21.430000,7.505000,14.331538,27.307501,19.982857,21.051001,25.363333,24.255417,26.426666,29.743111,17.129999,27.832500,17.282692,28.027500,21.875000
