target_time_utc,target_time_local,target_interval_start_utc,target_interval_start_local,13812_anti_clockwise,13812_clockwise,13814_anti_clockwise,13814_clockwise,13820_anti_clockwise,13820_clockwise,13823_anti_clockwise,13823_clockwise,13826_anti_clockwise,13827_clockwise,13829_clockwise,13837_clockwise,15673_clockwise,15675_anti_clockwise,15675_clockwise,15681_anti_clockwise,15681_clockwise,15682_anti_clockwise,15682_clockwise,15685_clockwise,15687_anti_clockwise,15687_clockwise,15692_anti_clockwise,15693_clockwise,22660_clockwise,22712_anti_clockwise,22712_clockwise,22713_anti_clockwise,22713_clockwise,22715_anti_clockwise,22716_clockwise,22718_anti_clockwise,22718_clockwise,22730_anti_clockwise,22730_clockwise,22744_clockwise,25759_anti_clockwise,40853_anti_clockwise,40853_clockwise,45293_anti_clockwise,45294_clockwise,45298_anti_clockwise,45298_clockwise,45299_anti_clockwise,45301_anti_clockwise,45301_clockwise,45303_clockwise,45306_anti_clockwise,45306_clockwise,45311_anti_clockwise,45311_clockwise,45317_anti_clockwise,45318_clockwise,45326_clockwise,45523_anti_clockwise,47162_anti_clockwise,47163_clockwise,47166_anti_clockwise,47507_anti_clockwise,47519_anti_clockwise,47520_clockwise,47522_clockwise,47523_anti_clockwise,47523_clockwise,47524_anti_clockwise,47524_clockwise,47526_anti_clockwise,47526_clockwise,47528_anti_clockwise,47530_anti_clockwise,47532_anti_clockwise,47534_anti_clockwise,47535_anti_clockwise,47535_clockwise,47538_anti_clockwise,47542_anti_clockwise,47548_anti_clockwise,47551_anti_clockwise,47554_anti_clockwise,47557_anti_clockwise,47572_clockwise,47575_clockwise,47581_clockwise,47585_anti_clockwise,47586_clockwise,47589_anti_clockwise,47589_clockwise,47592_anti_clockwise,47592_clockwise,47594_anti_clockwise,47597_anti_clockwise,47597_clockwise,47598_clockwise,47607_anti_clockwise,47623_anti_clockwise,47625_anti_clockwise,47625_clockwise,47626_clockwise,47629_anti_clockwise,47631_anti_clockwise,47632_clockwise,47634_clockwise,47784_anti_clockwise,47789_anti_clockwise,47789_clockwise,47792_anti_clockwise,47792_clockwise,47798_clockwise,47801_anti_clockwise,47801_clockwise,47803_clockwise,47805_anti_clockwise,49226_anti_clockwise,49226_clockwise,49229_anti_clockwise,49229_clockwise,49233_anti_clockwise,49235_clockwise,49247_clockwise,49253_anti_clockwise,49255_clockwise,49259_anti_clockwise,49261_clockwise,49269_anti_clockwise,49269_clockwise,49289_anti_clockwise,49306_clockwise,49308_clockwise,49312_clockwise,49313_anti_clockwise,49315_anti_clockwise,49560_clockwise,49790_anti_clockwise,49791_anti_clockwise,49791_clockwise,49794_anti_clockwise,49794_clockwise,49796_anti_clockwise,49798_anti_clockwise,49800_anti_clockwise,49802_anti_clockwise,49806_anti_clockwise,49809_anti_clockwise,49811_anti_clockwise,49811_clockwise,49824_anti_clockwise,49825_anti_clockwise,49825_clockwise,49826_anti_clockwise,49826_clockwise,49829_clockwise,49844_anti_clockwise,49915_anti_clockwise,52421_anti_clockwise,52632_anti_clockwise
2025-02-07T01:15:00Z,2025-02-07T01:15:00+0000,2025-02-07T01:10:00Z,2025-02-07T01:10:00+0000,21.430519,27.408329,21.950352,21.642092,16.183960,11.580449,31.110624,33.410427,31.175436,27.418756,28.966698,14.657370,17.571228,32.924744,35.139458,16.424074,17.617270,28.161083,26.080164,20.814100,30.295805,28.006897,25.272863,21.080082,26.632637,24.471039,21.399994,15.351753,22.392805,24.708319,18.916571,27.174198,21.779348,13.339416,24.698004,15.773830,27.681787,19.452946,24.843660,31.417629,31.279057,31.744987,24.095854,24.260292,30.119875,26.257896,20.285915,19.787601,16.678005,27.807175,29.219652,25.922581,22.559269,31.672342,20.883928,18.611879,9.917745,25.369177,31.735640,36.717186,41.192551,19.680243,28.433439,26.820375,19.208683,24.300489,31.789623,20.239464,25.882425,26.996828,30.938757,34.948856,23.742855,23.882225,25.723953,19.162022,41.268867,34.428131,28.872829,19.507236,19.418230,22.197945,26.060379,28.009029,23.470736,28.543322,18.429722,36.585140,28.303413,26.512119,29.936888,26.467775,22.685305,23.231543,25.073811,17.231258,14.858860,17.310675,25.346260,29.824154,27.720881,36.129799,30.809389,31.599146,25.254513,22.966232,21.994099,15.123079,21.404123,18.107418,15.687756,25.932333,26.280838,21.871784,26.636881,27.238777,27.618324,27.702122,25.475960,31.111227,15.598777,27.097189,21.889057,20.835785,15.003428,39.337227,28.757839,28.586676,12.558454,8.931609,31.166504,24.699266,16.770441,23.582752,31.310608,25.755850,12.752890,22.013662,20.260845,29.495165,32.224907,9.704116,16.820061,23.756090,21.603237,22.510632,21.365377,23.283401,23.260948,24.941143,15.943851,24.321262,17.841288,29.505594,20.831474
2025-02-07T01:20:00Z,2025-02-07T01:20:00+0000,2025-02-07T01:15:00Z,2025-02-07T01:15:00+0000,21.498428,27.811134,22.046753,21.459763,16.370148,11.531040,30.760155,33.210403,31.031651,26.973486,29.260782,13.247754,17.646439,33.507641,35.732197,16.685890,18.259104,28.349003,26.904440,21.233517,29.732861,28.584396,25.512300,20.860458,26.688580,24.457279,21.782005,15.462116,23.208439,24.629173,19.245262,26.461897,22.264996,13.891762,25.394470,15.346859,25.067055,19.549143,26.521343,31.376644,30.707285,32.121128,25.656263,24.724644,30.137690,26.656538,19.962091,19.578136,18.054419,27.732327,31.309237,25.944929,22.660852,31.637932,21.314196,18.901022,9.916094,25.184874,31.622702,36.788960,41.174278,19.585735,28.941879,26.753368,19.724838,24.871138,32.012718,20.103397,25.881826,26.846256,31.189196,35.462952,23.378115,23.921427,25.801512,19.335770,41.369461,34.698029,29.092449,19.793610,19.466791,22.360100,26.200455,28.738518,23.640333,28.130476,18.499863,36.764759,26.224699,26.601852,30.445829,27.589998,23.202183,23.543360,25.571375,16.961098,15.164685,17.197975,25.421625,29.499229,27.869970,37.057949,30.913067,31.609348,24.855143,23.050611,21.967875,15.303837,22.138365,18.109325,15.742509,25.752815,26.544544,22.255692,26.947332,27.471289,27.782137,27.491646,25.540382,30.954077,15.538425,27.379230,21.484842,20.706913,15.144312,39.528442,29.275799,28.667593,12.560199,8.258569,31.423901,24.842772,16.941990,18.022009,30.992069,26.400011,13.214513,21.956749,20.157763,29.441269,32.434380,9.498916,16.825134,23.893950,21.564095,22.831709,21.193218,23.836847,23.388563,25.011393,15.833368,24.145084,17.834902,29.679714,20.993643
2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,2025-02-07T01:20:00Z,2025-02-07T01:20:00+0000,21.581322,28.113647,22.179790,21.577648,16.218746,11.558640,31.287334,33.070801,31.308374,27.538830,29.738947,13.430846,17.531904,33.769405,35.634476,16.988760,17.886309,27.769655,26.932878,21.120571,29.773920,28.671412,25.312908,21.025028,26.929918,24.520628,21.784004,14.718088,22.542809,24.601395,19.567953,25.236511,22.366491,13.768992,24.418373,14.557691,26.046467,19.600706,28.027094,31.635891,30.610657,31.876869,26.572731,24.584261,30.082239,27.139429,20.111927,19.793118,18.960161,27.793591,31.151217,26.328587,22.136248,31.737522,21.150503,18.986538,9.580599,25.198416,31.459381,36.820618,40.899971,19.574657,29.254419,27.170021,20.446028,25.418276,32.080421,20.407021,26.364290,26.494976,30.758818,35.405266,23.139585,22.908245,26.773117,19.250320,41.347118,34.295033,29.259426,20.175938,19.747101,22.468050,26.012796,29.474598,24.859495,28.485903,17.767654,36.407436,27.288397,26.454292,30.499947,27.524986,22.497492,23.135015,25.103750,16.677971,14.955437,17.279470,25.491703,29.729174,28.053020,36.646492,31.353764,32.003002,24.925442,23.048357,21.836058,15.060922,22.292812,18.268150,16.160757,25.435904,27.062557,22.322124,27.184662,27.352945,27.850561,27.901793,25.618938,31.043243,15.531349,27.299717,21.620340,21.155186,15.274529,39.500191,29.417919,29.131151,12.512134,7.914723,31.595081,24.909565,16.966251,20.192430,30.846340,26.606184,13.338960,17.665348,19.908939,29.664171,32.369514,9.567908,16.955538,23.919975,21.683908,22.793045,20.869488,23.009960,23.067204,22.207874,15.977611,23.981636,17.806763,29.457275,21.063316
2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,21.843246,28.121210,22.440817,21.690699,16.207283,11.601013,31.041611,33.441685,30.170982,27.331379,29.895500,14.762188,17.497673,33.682365,35.684143,17.358204,17.806910,27.218035,26.499744,20.897001,28.907234,29.346121,24.203915,20.450716,26.806171,24.436089,21.553516,13.591800,22.927057,24.429417,19.221762,25.450027,22.351357,14.095051,24.630997,15.211627,24.816446,19.739296,28.381659,32.081833,31.892464,31.508541,27.111591,24.568123,29.793947,27.161489,20.093258,20.442261,18.774981,28.150053,30.941650,25.651117,21.330620,31.863882,21.167484,19.314522,9.568739,25.111328,31.528595,36.807442,41.223972,19.765423,29.767094,27.322685,20.876040,25.265745,31.965252,20.326374,26.261711,26.380535,31.009384,35.346935,23.728956,23.413969,25.885202,19.461172,41.099243,34.349293,27.658743,20.233028,19.818228,22.616375,26.043087,29.349661,24.179302,28.575562,17.791597,36.696327,27.739777,26.570488,30.999733,28.348318,22.138952,23.000860,25.416090,16.771202,15.259398,17.235798,25.589710,29.450117,27.542280,36.485085,30.169189,31.841137,25.611433,23.104628,22.001778,15.311474,22.088491,17.784971,16.180813,25.482140,26.770035,22.561646,26.996109,26.896187,27.593687,27.874470,25.277903,30.473545,15.778686,26.866957,21.873585,21.186687,15.487245,39.226673,29.511421,29.822567,12.477939,7.821301,31.596630,24.699198,16.874622,21.924408,30.652504,26.614428,12.998491,20.792606,19.703869,29.729351,32.195652,9.985582,16.906910,24.153854,21.629379,22.656670,21.012337,22.890591,22.820320,23.107037,16.051765,23.267790,17.896652,29.572823,20.733065
2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,21.547390,27.490204,22.467031,21.811939,16.296463,11.597998,31.086266,33.096855,30.412352,27.198092,29.268986,17.493282,17.381409,33.910015,35.533165,16.994015,17.884418,27.471354,26.080702,21.411072,27.746563,29.770699,25.183193,20.450871,27.025234,24.564138,21.364576,13.612652,21.841928,23.796255,19.418989,25.262070,22.415575,13.794959,24.082729,15.252865,24.156244,19.578659,26.388174,30.924263,30.456676,31.735592,26.881268,24.802073,30.106705,26.664536,19.777330,20.721413,18.751425,28.432949,30.453547,25.351851,22.060476,31.614412,21.314442,19.262651,9.286866,25.245876,31.092386,36.853924,40.687469,19.632954,29.339520,27.575872,21.268232,25.162479,31.988655,20.204716,26.392092,26.362555,30.563908,34.936745,23.316637,23.187828,25.467770,19.319405,40.945969,34.324848,28.680449,20.042355,19.698189,22.551069,26.046789,28.924850,23.620668,28.115444,17.169249,36.926392,27.004261,25.939163,30.605930,28.410671,20.942352,23.247826,25.324137,17.020216,14.845267,17.091633,25.265055,29.032330,27.615929,36.223038,29.587475,32.049278,25.678579,23.176535,21.978218,15.614973,22.202507,18.350657,16.014353,25.612371,27.168427,22.859240,26.871487,26.652704,27.624296,27.954813,25.075674,28.924248,15.318336,26.576181,21.045294,20.681578,15.715776,39.095406,29.110926,30.064859,12.574286,8.244514,31.623272,24.298700,17.026661,21.605400,30.436386,27.086613,12.420591,20.798965,19.743366,29.164293,31.756142,10.368592,16.672501,24.222933,21.471340,22.688236,21.666372,23.006496,23.101318,23.145266,15.832529,23.343506,17.556126,29.137098,20.654211
2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,21.502375,27.488564,22.705605,22.106533,16.740215,11.330998,31.227411,32.886734,30.590872,27.088091,29.468073,19.180801,17.285114,34.685555,35.636734,16.457260,17.567905,26.783674,25.248560,20.731718,28.416645,30.539883,25.360954,20.757570,26.918262,24.212551,21.310768,13.514860,22.227709,23.750074,19.341022,25.378368,22.268112,14.597021,24.010775,15.800360,25.666300,19.733583,26.544876,31.565048,29.224394,31.483822,29.019562,24.447212,30.535711,26.436623,19.644432,20.706720,19.219639,28.300631,30.637547,25.907209,21.791470,31.613670,21.660519,19.408291,9.084665,25.439507,31.760300,36.884033,40.638405,19.620483,29.606806,26.814926,20.673903,25.299595,31.604111,20.324221,27.180023,25.991899,30.031382,34.778118,21.824600,23.616533,25.480995,19.702183,40.557545,34.109375,28.349266,20.397503,19.839739,22.336729,25.947254,29.166475,22.946327,28.333239,17.324265,37.156982,27.911221,25.935226,31.049042,28.639875,21.076307,23.756775,25.523596,17.160427,15.295971,17.081909,25.348919,29.197598,27.291533,35.878937,29.185051,31.967594,25.365240,23.215340,22.089848,15.171158,21.695705,18.167400,16.089579,25.651468,26.900389,22.254532,26.645594,26.818279,27.847057,27.952370,24.955009,30.059031,15.394915,26.499660,21.339186,20.747995,15.800121,38.483627,29.200317,29.842138,12.598718,8.079174,31.176945,24.447845,17.095957,22.266336,30.434505,27.531811,13.445916,20.695459,19.807810,29.452019,31.694969,10.255683,16.697031,24.296236,21.757977,22.426216,21.447912,23.576725,22.946312,24.070221,15.943548,23.112606,17.716530,29.410959,20.890324
2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,21.453999,27.129225,22.812647,21.865627,16.627506,12.038069,30.789955,32.440849,30.306002,27.193634,29.044653,18.872017,17.468060,33.855236,35.827885,16.748514,17.349457,26.454735,25.973612,20.674223,28.035686,30.459915,25.175413,20.419262,26.991476,24.453079,20.851028,13.955857,20.780527,23.617481,19.384888,24.599266,22.154505,14.024897,24.198597,15.616682,26.046753,20.044605,25.981701,31.277954,29.917931,31.816936,29.235001,23.951990,30.775883,26.618616,19.456053,20.720850,18.504593,28.130203,29.848930,25.631422,21.491121,31.626209,21.270771,19.656143,9.178886,25.656458,31.239422,36.564194,40.829754,19.560200,29.607632,27.065590,20.504562,25.505877,31.783737,19.869881,27.213192,26.068413,30.538254,34.987167,22.023760,22.947773,25.492186,19.573204,40.491447,34.370148,27.839958,20.153671,19.567022,22.291119,25.754469,29.328705,22.168003,28.759632,17.298786,35.996307,27.032007,25.891119,28.687757,29.004604,19.913614,23.578764,25.036423,17.214605,14.508656,16.973923,25.289085,28.722054,27.163427,35.588715,28.841742,31.384300,25.330149,23.153776,21.910398,14.774584,21.632271,18.845072,16.114258,26.279556,27.092304,16.970104,26.659830,27.389109,27.278006,27.639532,25.198906,28.511494,15.221187,26.403522,21.668596,21.138607,16.181606,38.090836,29.396477,28.806980,12.570996,7.388156,31.305630,24.240751,16.919979,22.388750,30.610317,26.796089,13.388940,20.897842,19.524725,29.562450,31.260891,10.846643,16.674555,24.446434,21.635937,22.592775,22.025995,24.353848,23.080671,24.359047,16.078863,22.984659,17.423225,29.817474,20.714806
2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,21.248737,26.723036,22.689318,21.464222,16.280651,12.107191,31.166704,32.558395,30.648710,26.992336,28.147100,18.267822,17.214926,33.583481,35.494717,16.045938,17.163403,26.167547,25.617825,20.218803,28.751064,29.920080,24.640276,20.091648,27.086443,24.170801,20.911762,13.049218,20.493422,23.718746,19.512411,25.182026,22.238365,14.623735,23.183420,15.427918,27.014555,20.099277,25.752644,31.451038,28.992733,31.542366,30.595623,24.286005,30.507103,26.539669,19.407209,20.733187,18.685738,27.416164,29.184872,25.724640,22.155382,31.547104,21.353251,19.610622,8.969019,25.771759,31.541464,36.737041,41.644508,19.619743,29.602516,26.913120,19.372147,25.303226,31.441589,19.576120,27.181486,25.734262,30.067257,34.976219,20.853640,22.147467,25.263266,19.365074,40.228180,34.320580,27.869932,19.881067,19.119804,22.272701,25.824224,29.295177,22.322062,28.466288,17.142527,35.950115,27.627853,25.657108,30.032928,27.946039,19.313828,23.306665,25.148611,14.149340,14.242958,16.860249,25.151173,28.840334,26.809956,35.035507,28.745264,30.983885,25.225239,23.179268,22.137943,14.879880,21.621908,18.097570,16.301058,26.084381,26.747362,20.088579,26.026051,27.445580,27.975611,26.681755,25.183687,28.961361,15.046526,27.228554,21.675924,21.278402,15.796541,38.308128,29.271488,27.711666,12.601426,7.468425,31.156485,23.969692,16.953234,22.380697,29.970137,26.005798,13.350145,20.823793,19.186165,29.844213,31.573008,10.826362,16.496010,24.439255,21.872047,22.649862,21.859259,24.378164,23.597525,24.727463,16.196983,22.912098,17.371214,29.335123,20.963474
2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,20.925964,27.077785,23.091696,20.968987,16.429373,11.953273,31.484409,32.337631,30.600775,26.729122,28.644026,15.919145,17.386047,33.823666,35.997429,16.185162,17.713345,25.011782,26.640928,19.558207,28.920193,29.726883,24.777271,20.511152,26.852573,24.088793,21.542946,13.873260,21.393911,23.628189,19.691326,25.590149,22.312212,14.658962,22.782413,15.716970,27.353474,20.148479,25.650454,30.890301,30.571880,31.478951,30.244217,23.961452,30.361843,26.371212,19.172882,21.252239,19.333725,27.633766,29.090084,25.474247,22.632776,31.245770,21.429764,19.241476,9.157912,25.952003,31.723858,36.690731,42.201263,19.818123,29.975794,26.389088,20.462662,25.554306,31.364500,19.930138,27.220131,25.107185,30.299810,35.273659,21.088362,21.717718,24.848785,19.444622,40.518131,33.846004,27.140202,20.094379,19.600597,22.467251,25.296387,29.001591,21.954638,28.645803,17.870174,36.675301,27.813269,25.290134,30.686119,25.378994,18.835148,24.248005,25.415073,15.759733,13.865353,17.037737,25.105644,28.976599,26.545933,35.614780,28.346029,30.473354,25.059490,23.373556,22.374657,15.129107,20.915493,18.401642,16.305122,26.549856,26.485975,19.442337,26.312220,26.818729,27.080107,26.763653,25.478880,28.715973,15.074108,25.904804,21.875864,21.984606,15.995202,38.697960,29.141846,27.457977,12.538470,7.594352,31.219299,23.744341,16.717922,23.219769,29.989676,26.230129,13.611210,21.108440,19.144434,30.112276,31.961548,10.639566,16.486546,25.066484,21.616682,22.391762,20.889853,22.886942,21.861475,24.153664,16.265850,23.365129,17.488636,29.136862,20.207834
2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,21.442589,26.903248,23.185532,21.309299,16.693806,12.018563,32.441555,32.689339,30.696869,26.849262,28.537991,14.744587,17.010498,32.942806,34.569553,16.570696,17.923145,24.593933,25.952696,19.120686,28.741873,29.110790,24.379795,20.482746,26.836330,23.908705,21.369600,14.276705,20.592644,23.458588,20.090702,25.778778,22.463573,15.215370,22.555801,14.584983,26.833218,20.260172,25.397739,30.136909,29.689028,31.552959,29.395857,23.880190,30.784126,27.199642,19.298626,21.196793,19.125774,27.261185,28.301708,25.469862,22.017246,30.387249,21.186651,18.841940,9.310411,25.995592,31.436008,36.820892,41.150200,19.603609,30.235600,25.756157,19.981123,24.816877,30.745152,19.505941,26.913157,24.730074,30.004684,35.893379,19.807653,21.875801,25.110033,19.131571,39.891640,33.191975,27.220993,19.780870,19.527889,22.770761,25.664598,29.059158,22.630075,27.822603,18.060459,32.838028,26.079958,25.464397,29.420395,24.776407,18.291761,23.601360,24.829782,15.107491,13.721308,17.504017,24.857689,28.833973,26.372450,35.793140,28.132206,31.079033,25.327888,23.256954,21.601608,14.733650,21.425222,18.607475,16.706566,26.807898,26.681396,18.737314,26.543278,27.421835,27.444429,25.557301,25.858839,28.029863,15.031374,27.438129,20.839233,21.889519,16.154976,38.001884,29.356010,27.463961,12.442579,7.434162,31.540279,23.606882,16.648592,22.658144,29.930143,26.748142,13.763116,20.766430,18.871046,30.144012,31.554802,9.936652,16.495287,24.619314,21.929302,22.591284,20.439299,23.276407,22.157433,24.511227,16.386894,22.847105,17.562298,29.365088,20.060669
