node_order,node_id
0,13812_anti_clockwise
1,13812_clockwise
2,13814_anti_clockwise
3,13814_clockwise
4,13820_anti_clockwise
5,13820_clockwise
6,13823_anti_clockwise
7,13823_clockwise
8,13826_anti_clockwise
9,13827_clockwise
10,13829_clockwise
11,13837_clockwise
12,15673_clockwise
13,15675_anti_clockwise
14,15675_clockwise
15,15681_anti_clockwise
16,15681_clockwise
17,15682_anti_clockwise
18,15682_clockwise
19,15685_clockwise
20,15687_anti_clockwise
21,15687_clockwise
22,15692_anti_clockwise
23,15693_clockwise
24,22660_clockwise
25,22712_anti_clockwise
26,22712_clockwise
27,22713_anti_clockwise
28,22713_clockwise
29,22715_anti_clockwise
30,22716_clockwise
31,22718_anti_clockwise
32,22718_clockwise
33,22730_anti_clockwise
34,22730_clockwise
35,22744_clockwise
36,25759_anti_clockwise
37,40853_anti_clockwise
38,40853_clockwise
39,45293_anti_clockwise
40,45294_clockwise
41,45298_anti_clockwise
42,45298_clockwise
43,45299_anti_clockwise
44,45301_anti_clockwise
45,45301_clockwise
46,45303_clockwise
47,45306_anti_clockwise
48,45306_clockwise
49,45311_anti_clockwise
50,45311_clockwise
51,45317_anti_clockwise
52,45318_clockwise
53,45326_clockwise
54,45523_anti_clockwise
55,47162_anti_clockwise
56,47163_clockwise
57,47166_anti_clockwise
58,47507_anti_clockwise
59,47519_anti_clockwise
60,47520_clockwise
61,47522_clockwise
62,47523_anti_clockwise
63,47523_clockwise
64,47524_anti_clockwise
65,47524_clockwise
66,47526_anti_clockwise
67,47526_clockwise
68,47528_anti_clockwise
69,47530_anti_clockwise
70,47532_anti_clockwise
71,47534_anti_clockwise
72,47535_anti_clockwise
73,47535_clockwise
74,47538_anti_clockwise
75,47542_anti_clockwise
76,47548_anti_clockwise
77,47551_anti_clockwise
78,47554_anti_clockwise
79,47557_anti_clockwise
80,47572_clockwise
81,47575_clockwise
82,47581_clockwise
83,47585_anti_clockwise
84,47586_clockwise
85,47589_anti_clockwise
86,47589_clockwise
87,47592_anti_clockwise
88,47592_clockwise
89,47594_anti_clockwise
90,47597_anti_clockwise
91,47597_clockwise
92,47598_clockwise
93,47607_anti_clockwise
94,47623_anti_clockwise
95,47625_anti_clockwise
96,47625_clockwise
97,47626_clockwise
98,47629_anti_clockwise
99,47631_anti_clockwise
100,47632_clockwise
101,47634_clockwise
102,47784_anti_clockwise
103,47789_anti_clockwise
104,47789_clockwise
105,47792_anti_clockwise
106,47792_clockwise
107,47798_clockwise
108,47801_anti_clockwise
109,47801_clockwise
110,47803_clockwise
111,47805_anti_clockwise
112,49226_anti_clockwise
113,49226_clockwise
114,49229_anti_clockwise
115,49229_clockwise
116,49233_anti_clockwise
117,49235_clockwise
118,49247_clockwise
119,49253_anti_clockwise
120,49255_clockwise
121,49259_anti_clockwise
122,49261_clockwise
123,49269_anti_clockwise
124,49269_clockwise
125,49289_anti_clockwise
126,49306_clockwise
127,49308_clockwise
128,49312_clockwise
129,49313_anti_clockwise
130,49315_anti_clockwise
131,49560_clockwise
132,49790_anti_clockwise
133,49791_anti_clockwise
134,49791_clockwise
135,49794_anti_clockwise
136,49794_clockwise
137,49796_anti_clockwise
138,49798_anti_clockwise
139,49800_anti_clockwise
140,49802_anti_clockwise
141,49806_anti_clockwise
142,49809_anti_clockwise
143,49811_anti_clockwise
144,49811_clockwise
145,49824_anti_clockwise
146,49825_anti_clockwise
147,49825_clockwise
148,49826_anti_clockwise
149,49826_clockwise
150,49829_clockwise
151,49844_anti_clockwise
152,49915_anti_clockwise
153,52421_anti_clockwise
154,52632_anti_clockwise
