target_time_utc,target_time_local,target_interval_start_utc,target_interval_start_local,13812_anti_clockwise,13812_clockwise,13814_anti_clockwise,13814_clockwise,13820_anti_clockwise,13820_clockwise,13823_anti_clockwise,13823_clockwise,13826_anti_clockwise,13827_clockwise,13829_clockwise,13837_clockwise,15673_clockwise,15675_anti_clockwise,15675_clockwise,15681_anti_clockwise,15681_clockwise,15682_anti_clockwise,15682_clockwise,15685_clockwise,15687_anti_clockwise,15687_clockwise,15692_anti_clockwise,15693_clockwise,22660_clockwise,22712_anti_clockwise,22712_clockwise,22713_anti_clockwise,22713_clockwise,22715_anti_clockwise,22716_clockwise,22718_anti_clockwise,22718_clockwise,22730_anti_clockwise,22730_clockwise,22744_clockwise,25759_anti_clockwise,40853_anti_clockwise,40853_clockwise,45293_anti_clockwise,45294_clockwise,45298_anti_clockwise,45298_clockwise,45299_anti_clockwise,45301_anti_clockwise,45301_clockwise,45303_clockwise,45306_anti_clockwise,45306_clockwise,45311_anti_clockwise,45311_clockwise,45317_anti_clockwise,45318_clockwise,45326_clockwise,45523_anti_clockwise,47162_anti_clockwise,47163_clockwise,47166_anti_clockwise,47507_anti_clockwise,47519_anti_clockwise,47520_clockwise,47522_clockwise,47523_anti_clockwise,47523_clockwise,47524_anti_clockwise,47524_clockwise,47526_anti_clockwise,47526_clockwise,47528_anti_clockwise,47530_anti_clockwise,47532_anti_clockwise,47534_anti_clockwise,47535_anti_clockwise,47535_clockwise,47538_anti_clockwise,47542_anti_clockwise,47548_anti_clockwise,47551_anti_clockwise,47554_anti_clockwise,47557_anti_clockwise,47572_clockwise,47575_clockwise,47581_clockwise,47585_anti_clockwise,47586_clockwise,47589_anti_clockwise,47589_clockwise,47592_anti_clockwise,47592_clockwise,47594_anti_clockwise,47597_anti_clockwise,47597_clockwise,47598_clockwise,47607_anti_clockwise,47623_anti_clockwise,47625_anti_clockwise,47625_clockwise,47626_clockwise,47629_anti_clockwise,47631_anti_clockwise,47632_clockwise,47634_clockwise,47784_anti_clockwise,47789_anti_clockwise,47789_clockwise,47792_anti_clockwise,47792_clockwise,47798_clockwise,47801_anti_clockwise,47801_clockwise,47803_clockwise,47805_anti_clockwise,49226_anti_clockwise,49226_clockwise,49229_anti_clockwise,49229_clockwise,49233_anti_clockwise,49235_clockwise,49247_clockwise,49253_anti_clockwise,49255_clockwise,49259_anti_clockwise,49261_clockwise,49269_anti_clockwise,49269_clockwise,49289_anti_clockwise,49306_clockwise,49308_clockwise,49312_clockwise,49313_anti_clockwise,49315_anti_clockwise,49560_clockwise,49790_anti_clockwise,49791_anti_clockwise,49791_clockwise,49794_anti_clockwise,49794_clockwise,49796_anti_clockwise,49798_anti_clockwise,49800_anti_clockwise,49802_anti_clockwise,49806_anti_clockwise,49809_anti_clockwise,49811_anti_clockwise,49811_clockwise,49824_anti_clockwise,49825_anti_clockwise,49825_clockwise,49826_anti_clockwise,49826_clockwise,49829_clockwise,49844_anti_clockwise,49915_anti_clockwise,52421_anti_clockwise,52632_anti_clockwise
2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,21.624878,27.063011,21.970503,21.701523,16.443192,11.466588,31.306992,33.131573,31.720591,27.602339,29.247618,13.921578,17.701796,32.989708,34.417965,16.528063,17.619865,27.398087,25.535875,20.541212,29.613989,28.750792,24.859665,21.208158,26.662302,24.485888,21.450010,15.455346,21.619387,24.314054,19.217989,26.145777,22.458139,13.906161,24.153238,15.696945,26.332405,19.554323,25.267889,31.666105,32.806431,31.750513,24.588892,24.211130,30.228945,25.794367,20.145473,19.925718,17.845560,27.577547,30.856264,25.043406,22.290518,31.317635,20.549700,18.882126,10.019706,24.899628,31.006334,37.529621,41.970234,19.865873,27.739990,25.927618,19.044977,23.622599,31.026138,20.070578,25.540695,26.450447,30.855139,34.928738,23.929909,23.825750,25.726015,19.035528,39.262207,34.006817,28.562531,19.807383,19.782114,22.342512,26.181833,28.003174,23.472679,28.268328,18.467447,36.978611,28.600298,27.153959,30.140579,26.459650,24.023981,22.933599,25.095819,16.034216,14.626446,17.310505,25.749971,29.601580,27.929758,36.267559,30.085541,31.166853,25.124731,23.122271,22.205238,15.465930,21.378164,18.081591,16.082991,25.568563,26.423059,21.334177,26.886396,27.231108,27.849512,28.072050,25.545166,31.191360,15.529674,26.500975,21.720825,20.560492,14.993030,38.353954,28.616714,28.670670,12.703992,8.171775,31.241175,24.775225,16.709883,23.498596,30.916265,24.943024,12.821999,21.564087,20.468113,29.189941,31.883118,9.633286,16.839272,23.895571,21.742971,22.557610,20.999033,22.240776,21.968340,22.956888,16.238321,24.724060,17.818018,29.477097,20.946569
2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,21.731562,27.253016,22.060074,21.520983,16.535666,11.491226,31.218422,33.033779,31.563612,27.296179,29.279428,14.109825,17.811310,33.446789,34.836365,16.735746,18.160471,27.026161,25.995348,20.883066,29.452728,28.803049,25.078125,21.023264,26.637175,24.447990,21.921005,15.683495,22.379364,24.266626,19.427313,25.583666,22.725449,14.302094,24.562805,15.332744,25.019384,19.470768,26.114561,31.343613,32.229725,31.790426,25.246969,24.463684,30.320024,26.062071,19.878622,19.618929,18.697933,27.533203,30.919744,25.133184,22.398438,31.321001,20.766932,19.152128,9.946144,24.821846,30.521292,37.834049,42.062038,19.792498,28.247908,25.928268,19.650537,24.213434,31.144073,20.019350,25.555201,26.346136,31.003571,35.459255,23.199432,23.712271,25.781286,19.189837,39.509949,34.191273,28.690331,19.995695,19.826679,22.494848,25.992247,28.400885,23.701385,27.847244,18.350937,37.128300,27.985338,27.123358,30.432848,27.257263,24.338287,23.223867,25.191858,15.857383,14.902789,17.205040,25.784807,29.288946,27.985992,36.358250,29.837051,31.016510,24.854080,23.108000,22.093611,15.687756,22.281652,18.094824,16.137920,25.487158,26.785881,21.340834,27.079933,27.456421,28.028131,27.619944,25.564117,31.039110,15.453842,26.464014,21.502571,20.566500,15.151067,38.461788,29.309866,28.432398,12.741174,7.926531,31.440994,24.841795,17.008482,22.754026,30.666971,25.361181,14.095962,21.629145,20.391323,28.889524,31.811075,9.612885,16.886471,24.125381,21.768219,22.715521,20.828100,22.987144,22.007591,22.397039,16.193819,24.478813,17.865309,29.623625,20.979322
2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,21.724579,27.749914,22.158762,21.551346,16.317694,11.773906,31.650751,32.813660,31.644699,27.585640,29.728571,14.687041,17.819395,33.859180,34.850826,16.979141,17.788004,27.000456,26.307077,20.807169,29.494585,29.075014,24.971170,21.192644,26.904816,24.478312,21.900930,15.549502,22.020559,24.626692,19.667135,25.198786,22.716171,14.446114,23.951990,14.887981,24.858210,19.491320,26.470098,31.832315,32.598446,31.611902,26.071609,24.489441,30.052916,26.527344,19.994150,19.984663,19.471636,27.561708,30.811274,25.418890,22.077774,31.706360,20.710930,19.251638,9.876277,24.834173,30.929785,37.870144,41.868729,19.773115,28.554270,26.417521,20.267275,25.109039,31.454268,20.341497,26.106207,26.052902,30.573160,35.162121,23.325109,23.390160,26.243973,19.232805,39.543949,33.707336,28.905045,20.218567,20.002317,22.563696,26.000830,28.610420,24.299208,28.182014,17.732187,36.737320,27.879236,26.971603,30.673828,28.156168,23.995016,23.138411,25.073523,15.878318,14.474464,17.135424,25.756994,29.361818,28.043692,35.967319,29.676970,31.246923,25.102465,23.328445,22.059317,15.559407,22.243927,18.176191,16.518839,25.405596,27.385635,22.053446,27.290421,27.399788,28.099234,28.130892,25.590078,30.852900,15.482408,26.576509,21.910593,20.766294,15.342998,38.479279,29.176649,29.111465,12.725574,7.723574,31.583403,24.971506,17.040102,21.913523,30.766319,25.999008,14.146516,20.432177,20.197220,29.288246,31.814695,9.717214,16.956400,24.035807,21.882523,22.586655,20.543093,21.894018,21.750931,21.686995,16.288431,24.474592,17.807486,29.535181,21.034868
2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,21.879982,27.558599,22.241800,21.572508,16.237108,11.802979,31.453344,33.034298,30.730469,27.377424,29.678146,15.291116,17.862785,33.871899,34.783733,17.228916,18.003683,26.523560,25.991539,20.610929,29.073883,29.362089,24.308161,20.631536,26.681519,24.339273,21.530863,15.055882,22.785372,24.324141,19.439959,25.043238,22.703224,14.547825,24.327459,15.150428,24.389776,19.619127,26.841753,32.068348,33.056122,31.441538,26.618078,24.616035,29.885748,26.655603,19.978212,20.429756,19.231556,27.799002,30.507454,24.793299,21.692656,31.914780,20.794199,19.453981,9.815387,24.774923,30.693771,37.821285,41.872864,19.862471,28.729704,26.724581,20.571161,24.673098,31.301483,20.048834,25.602882,25.945663,30.761292,35.234066,23.774208,23.666052,25.779657,19.339931,39.419361,33.694733,27.868952,20.089720,19.925501,22.527769,25.876707,28.529884,24.149805,28.100510,17.816360,37.160713,27.791449,26.768723,30.971336,28.556824,23.330091,23.061815,25.206358,15.924636,14.904449,17.072205,25.823069,29.269022,27.694620,35.778133,29.391150,31.209749,25.307045,23.247663,22.144617,15.713689,22.096291,17.779858,16.554346,25.390421,27.146423,22.306131,27.083557,26.845581,27.930298,27.836252,25.287529,30.480408,15.677650,26.382967,21.743952,20.746185,15.569808,37.952560,29.111593,29.604813,12.777503,7.547531,31.555746,24.789679,16.855032,21.693747,30.592096,25.908777,14.047920,20.667894,19.976364,28.993874,31.591883,9.875390,16.762756,24.053261,21.699371,22.520243,20.807348,22.244009,21.541147,21.291903,16.343885,23.913025,17.833998,29.608755,20.753191
2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,21.245884,26.747919,22.270948,21.669746,16.406994,11.663743,31.432531,32.946026,30.840017,27.107920,29.227127,17.171104,17.778440,33.682014,34.693920,16.860064,17.881567,26.399443,25.546663,21.155441,28.447672,29.707567,24.546453,20.657724,26.799604,24.272369,21.465837,14.938951,22.046829,23.535395,19.593546,25.196440,22.605835,14.351501,24.178261,15.699950,24.509956,19.461485,25.959692,31.376167,32.179348,31.624983,26.979490,24.928247,30.038994,26.402597,19.824673,20.745111,18.758392,28.101807,30.019272,24.834616,22.047258,31.855646,21.099241,19.485168,9.744193,25.010782,30.272623,37.950565,41.838264,19.602652,28.687876,26.759415,20.843489,24.950632,31.368065,20.354759,26.197954,26.070421,30.344091,35.080791,23.348745,23.347361,25.369513,19.120073,39.374176,33.690121,28.038864,19.860193,19.727297,22.381273,25.848642,28.111601,23.581316,27.769430,17.388384,36.891563,27.487244,26.260145,30.952253,28.869728,22.085779,23.426956,25.146402,16.065992,14.578506,16.955317,25.448179,28.879990,27.716593,35.647846,29.394434,31.395340,25.468298,23.412882,22.109529,15.766304,22.229568,18.299339,16.489168,25.417030,27.451681,22.787836,26.996878,26.563463,27.696930,27.893059,25.048895,29.644144,15.357577,26.098747,21.311478,20.603899,15.702260,37.536137,28.846277,30.111252,12.851013,7.715113,31.461639,24.583769,16.972795,21.813040,30.493761,26.559067,13.433792,20.756857,19.973669,28.972040,31.683640,9.935308,16.520216,23.987068,21.427145,22.575821,21.305925,22.381254,21.798655,22.202538,16.171984,23.622847,17.450123,29.205626,20.548174
2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,21.119097,26.735489,22.521521,21.795450,16.861506,11.627720,31.397779,32.881741,30.829046,27.256010,29.172369,17.985674,17.847589,34.026703,34.749435,16.609941,17.689020,26.199976,24.992697,20.359426,28.939789,30.256821,24.756159,21.026178,26.698675,24.089264,21.653318,14.871465,22.371834,23.346405,19.669355,25.101927,22.522385,15.011932,23.710741,16.043577,25.472061,19.646563,26.147402,31.642891,31.909027,31.680593,27.920389,24.622070,30.377951,26.255735,19.740871,20.803671,19.163572,27.712744,30.219080,25.103647,21.812767,31.659872,21.355654,19.649237,9.837236,25.030813,30.866526,37.607178,41.821552,19.549837,28.881613,26.174871,20.633560,25.064651,31.160364,20.302818,26.853613,25.718096,29.974112,35.205196,22.146393,23.818146,25.320963,19.510599,38.930489,33.573032,27.775818,20.084681,19.832579,22.148573,25.639261,28.266861,23.167913,28.370840,17.727365,36.940853,27.868017,26.252708,31.419327,28.912888,21.561296,23.676702,25.363129,16.016096,14.700885,16.955721,25.602755,29.039572,27.480890,35.845074,29.270615,31.404184,25.377890,23.539787,22.269880,15.449112,21.884781,18.194670,16.680269,25.429392,27.139013,22.218512,26.763870,26.713943,27.788855,28.026751,25.006212,29.813911,15.464630,26.177561,21.340286,20.665972,15.800220,37.587238,29.203316,29.734953,12.875774,7.594977,31.288652,24.443474,16.923645,22.030548,30.668196,27.012735,12.973081,20.661573,20.015160,29.100426,31.725843,9.808434,16.553782,23.936760,21.703775,22.567572,21.186407,22.241907,21.842896,22.630991,16.269812,23.709131,17.676325,29.286993,20.878500
2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,21.162722,26.440248,22.538427,21.602922,16.767076,12.596015,31.102007,32.608604,30.678396,27.358274,28.811310,18.136881,17.985380,33.785858,34.798534,16.759214,17.434427,25.903931,25.527700,20.529522,28.921118,30.075630,24.674522,20.462467,26.975321,24.246195,21.035681,15.156646,21.558876,23.401833,19.629999,24.635675,22.225306,14.259124,23.885643,16.110685,25.761435,20.280443,25.910622,31.719849,31.668386,31.897120,28.008760,24.244650,30.503021,26.588058,19.638466,20.832464,18.768595,27.672144,29.470911,25.110367,21.549101,31.686613,21.173822,19.928337,9.991673,25.266319,30.652069,37.534832,42.125477,19.536318,28.964769,26.396959,20.685316,25.234976,31.624580,20.014681,26.801977,25.843163,30.202116,35.495743,22.333406,23.080667,25.365852,19.301760,38.984783,33.725811,27.258718,19.964279,19.614233,22.094170,25.505392,28.419210,22.542601,28.700296,17.814030,35.813694,27.361948,26.232752,30.875483,29.388838,21.075621,23.437698,25.224014,16.072775,14.196621,16.859980,25.610479,28.752203,27.397453,35.472397,28.985758,31.135126,25.353720,23.556574,22.288057,15.356874,21.997774,19.006622,16.578835,25.761940,27.632715,21.042088,26.774313,27.244173,27.763634,27.723913,25.227905,28.748901,15.257217,26.081980,21.501886,20.984739,16.124794,37.652279,29.452097,28.782476,12.719804,7.527517,31.362946,24.549803,16.731222,22.251862,30.668081,26.102533,13.320901,20.704084,19.772589,29.654022,31.437454,10.061481,16.499369,24.082857,21.501207,22.784470,21.756063,23.476683,22.116957,23.135130,16.417065,23.287672,17.369711,29.477896,20.727081
2025-02-07T02:05:00Z,2025-02-07T02:05:00+0000,2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,20.953423,26.150373,22.531954,21.419794,16.416248,12.263664,31.340767,32.700893,30.834955,27.073288,28.111910,16.965036,17.698719,33.400692,34.621914,16.327255,17.153229,25.553572,25.556234,20.079412,29.431793,29.876814,24.403723,20.342161,27.035604,23.778601,21.157949,14.457680,21.250351,23.487375,19.779577,24.333517,22.138533,14.957217,23.156487,15.807098,26.776564,20.315931,25.984209,31.792231,31.540140,31.770411,27.802023,24.727171,30.474838,26.657974,19.589369,20.744232,18.839556,27.257607,29.066916,25.139204,22.086782,31.536299,21.157814,19.807205,10.085401,25.303610,30.910440,37.319550,42.456219,19.624941,29.139313,26.217291,20.019402,24.981596,31.359812,19.810715,26.664145,25.499407,29.938271,35.387421,21.961281,22.446775,25.204950,19.066065,38.867355,33.750916,27.145262,19.844398,19.456625,22.075228,25.510893,28.426092,22.830557,28.459776,17.554207,36.097103,28.214592,26.240723,31.744078,28.787415,21.247259,23.365639,25.278587,15.179479,13.894940,16.751442,25.384218,28.923403,27.083460,35.203194,28.925880,31.011887,25.281631,23.578598,22.409935,15.499130,22.019373,18.204058,16.661901,25.756887,27.249235,20.665941,26.179663,27.175728,28.333809,27.185225,25.263823,29.044586,15.171600,26.528849,21.489746,21.215002,15.787895,37.923916,29.514244,28.106916,12.651563,7.649980,31.361990,24.303093,16.788347,22.749838,30.242838,25.586197,13.536679,20.666931,19.427427,29.973707,31.727814,10.121011,16.331175,23.966713,21.554068,22.932251,21.696518,23.622335,22.627396,24.222397,16.378344,23.598497,17.265871,29.157295,20.924185
2025-02-07T02:10:00Z,2025-02-07T02:10:00+0000,2025-02-07T02:05:00Z,2025-02-07T02:05:00+0000,20.564926,26.405966,22.720520,21.272141,16.522324,12.097354,31.696299,32.653027,30.872416,26.621834,28.415812,15.148160,17.696486,33.520092,34.585129,16.325365,17.536184,24.502306,25.968712,19.250275,29.363096,29.554575,24.470457,20.740471,26.737421,23.430115,21.455053,14.978206,21.264097,23.176382,19.848066,24.644392,22.097488,14.914825,22.598806,15.956227,26.754913,20.423149,26.220194,31.638489,32.053005,31.814926,27.520020,24.499826,30.370062,26.231009,19.493505,21.255404,18.608126,27.135368,28.748383,24.924597,22.331306,31.202019,21.136089,19.638474,10.253568,25.348076,30.792440,37.175083,42.815536,19.855331,29.557463,25.808077,20.662912,25.276840,31.376829,20.113752,26.751635,25.176849,30.264368,35.847019,21.736078,21.841858,24.853434,18.995615,38.892384,33.533016,26.559515,19.857227,19.799578,22.095198,25.229227,28.223471,21.909452,28.731558,18.268637,36.194981,28.176550,26.120842,31.602015,27.861670,20.430996,23.931620,25.229300,15.571048,13.578888,16.940924,25.344416,29.091089,26.827957,35.627487,28.701101,30.559744,25.114801,23.688944,22.597651,15.671688,21.075525,18.521238,16.500460,25.996023,26.936270,20.330469,26.281008,26.561501,27.566971,27.046053,25.464685,29.063822,15.149844,25.858744,21.295931,21.616076,15.837871,37.827042,29.369871,27.638428,12.512925,7.548678,31.383116,24.158922,16.608583,23.353981,29.932676,25.752359,13.846910,21.123652,19.158792,30.331594,31.989862,10.157977,16.251760,24.401802,21.334131,22.626984,21.308722,22.972136,21.573317,23.800234,16.325132,23.921835,17.266933,28.524500,20.185392
2025-02-07T02:15:00Z,2025-02-07T02:15:00+0000,2025-02-07T02:10:00Z,2025-02-07T02:10:00+0000,21.202715,26.518671,22.671076,21.356668,16.731760,12.148858,32.332569,32.856792,31.087334,27.135971,28.593985,14.947606,17.130087,33.157825,33.186707,16.269814,17.383144,23.482092,25.153015,17.975683,28.956026,29.045385,24.077448,20.563822,26.064295,22.820055,20.804708,15.086128,20.819458,23.104874,19.959538,24.964437,21.976786,15.409813,22.234488,15.235722,26.315676,20.769945,25.890295,31.241610,31.871855,31.687902,26.723349,23.986315,30.516623,26.397827,19.512369,20.961866,18.509253,26.849548,28.044043,24.875223,21.864939,30.286484,20.938177,19.461452,10.229918,25.319147,30.808861,37.655361,42.208340,19.627897,29.837988,25.297667,20.194378,24.479387,30.870783,19.778620,26.346710,24.740906,29.988022,36.092243,20.529427,22.071823,25.056376,18.884472,38.873806,33.048607,26.728373,19.803110,19.779234,22.546129,24.872314,28.138815,21.358160,28.023010,17.865885,34.905441,27.149483,26.283697,31.284639,27.376535,20.847586,23.427948,25.043854,15.608718,13.809398,17.251997,25.153168,28.971954,26.520721,35.723919,28.523642,30.954958,25.157785,23.600092,21.982317,15.390666,21.657660,18.713343,16.317200,26.097664,27.066881,20.028004,26.431330,27.139490,28.096365,25.665314,25.577276,28.273867,14.983411,26.358765,20.331633,21.432409,15.813624,36.427563,29.469587,26.829039,12.246811,7.910247,31.347433,23.978493,16.447508,22.819321,29.841782,25.880287,14.056114,21.050428,18.688982,30.362099,31.648132,10.303794,16.055113,23.743616,21.029501,22.317747,21.099930,23.288553,21.877333,23.922586,16.146986,22.892427,17.190456,28.460632,19.719629
