target_time_utc,target_time_local,target_interval_start_utc,target_interval_start_local,13812_anti_clockwise,13812_clockwise,13814_anti_clockwise,13814_clockwise,13820_anti_clockwise,13820_clockwise,13823_anti_clockwise,13823_clockwise,13826_anti_clockwise,13827_clockwise,13829_clockwise,13837_clockwise,15673_clockwise,15675_anti_clockwise,15675_clockwise,15681_anti_clockwise,15681_clockwise,15682_anti_clockwise,15682_clockwise,15685_clockwise,15687_anti_clockwise,15687_clockwise,15692_anti_clockwise,15693_clockwise,22660_clockwise,22712_anti_clockwise,22712_clockwise,22713_anti_clockwise,22713_clockwise,22715_anti_clockwise,22716_clockwise,22718_anti_clockwise,22718_clockwise,22730_anti_clockwise,22730_clockwise,22744_clockwise,25759_anti_clockwise,40853_anti_clockwise,40853_clockwise,45293_anti_clockwise,45294_clockwise,45298_anti_clockwise,45298_clockwise,45299_anti_clockwise,45301_anti_clockwise,45301_clockwise,45303_clockwise,45306_anti_clockwise,45306_clockwise,45311_anti_clockwise,45311_clockwise,45317_anti_clockwise,45318_clockwise,45326_clockwise,45523_anti_clockwise,47162_anti_clockwise,47163_clockwise,47166_anti_clockwise,47507_anti_clockwise,47519_anti_clockwise,47520_clockwise,47522_clockwise,47523_anti_clockwise,47523_clockwise,47524_anti_clockwise,47524_clockwise,47526_anti_clockwise,47526_clockwise,47528_anti_clockwise,47530_anti_clockwise,47532_anti_clockwise,47534_anti_clockwise,47535_anti_clockwise,47535_clockwise,47538_anti_clockwise,47542_anti_clockwise,47548_anti_clockwise,47551_anti_clockwise,47554_anti_clockwise,47557_anti_clockwise,47572_clockwise,47575_clockwise,47581_clockwise,47585_anti_clockwise,47586_clockwise,47589_anti_clockwise,47589_clockwise,47592_anti_clockwise,47592_clockwise,47594_anti_clockwise,47597_anti_clockwise,47597_clockwise,47598_clockwise,47607_anti_clockwise,47623_anti_clockwise,47625_anti_clockwise,47625_clockwise,47626_clockwise,47629_anti_clockwise,47631_anti_clockwise,47632_clockwise,47634_clockwise,47784_anti_clockwise,47789_anti_clockwise,47789_clockwise,47792_anti_clockwise,47792_clockwise,47798_clockwise,47801_anti_clockwise,47801_clockwise,47803_clockwise,47805_anti_clockwise,49226_anti_clockwise,49226_clockwise,49229_anti_clockwise,49229_clockwise,49233_anti_clockwise,49235_clockwise,49247_clockwise,49253_anti_clockwise,49255_clockwise,49259_anti_clockwise,49261_clockwise,49269_anti_clockwise,49269_clockwise,49289_anti_clockwise,49306_clockwise,49308_clockwise,49312_clockwise,49313_anti_clockwise,49315_anti_clockwise,49560_clockwise,49790_anti_clockwise,49791_anti_clockwise,49791_clockwise,49794_anti_clockwise,49794_clockwise,49796_anti_clockwise,49798_anti_clockwise,49800_anti_clockwise,49802_anti_clockwise,49806_anti_clockwise,49809_anti_clockwise,49811_anti_clockwise,49811_clockwise,49824_anti_clockwise,49825_anti_clockwise,49825_clockwise,49826_anti_clockwise,49826_clockwise,49829_clockwise,49844_anti_clockwise,49915_anti_clockwise,52421_anti_clockwise,52632_anti_clockwise
2025-02-07T01:15:00Z,2025-02-07T01:15:00+0000,2025-02-07T01:10:00Z,2025-02-07T01:10:00+0000,21.344154,26.098228,22.100887,21.372482,16.002663,11.846160,31.090157,33.303585,31.314415,27.377399,28.156597,11.501948,18.263212,32.779160,34.193176,17.118280,17.336256,26.287718,25.331984,19.070065,28.714594,27.739510,24.384607,22.233767,27.005156,24.286222,21.988039,12.437364,20.183464,23.956673,19.630772,26.227150,22.702229,16.423294,24.216475,15.304415,25.219440,19.474148,23.269499,32.203697,31.196857,31.158405,25.745163,25.311058,29.887241,26.914577,20.470997,18.828983,16.843166,26.591911,29.874577,25.456396,22.659058,32.234367,20.853294,19.804482,9.366837,25.351709,31.214142,37.327595,42.837212,20.113068,28.814442,25.351858,19.773979,23.558931,30.864729,20.401033,25.961521,26.527433,30.059662,36.459972,24.731037,23.596060,25.100203,19.314919,39.385323,33.734444,28.605453,20.051886,19.535313,22.072701,26.148315,28.640808,24.323811,29.566544,18.812620,36.327374,29.129955,26.650387,30.644337,27.734245,23.286827,22.465168,26.164268,16.799009,14.809850,17.276237,25.525944,29.985092,28.277370,36.107201,29.392452,31.913300,25.177256,23.264261,21.989220,17.444536,21.598726,17.508776,16.719051,26.151308,26.597687,21.698112,26.604919,28.190062,28.025126,27.287634,25.360649,31.526146,14.598422,25.927906,21.722977,19.865976,13.816864,37.863503,27.718735,24.789230,11.881689,7.136499,31.901144,24.890438,16.507780,21.661982,32.113224,26.130672,14.471577,23.090548,19.586193,28.537849,31.764431,9.772020,17.454691,24.012997,21.516190,23.186769,22.486958,22.416824,22.212517,22.974424,16.420692,24.085175,18.259596,29.231066,22.515265
2025-02-07T01:20:00Z,2025-02-07T01:20:00+0000,2025-02-07T01:15:00Z,2025-02-07T01:15:00+0000,20.920996,26.013533,22.315001,21.482920,16.089365,11.896379,30.848854,33.114300,30.713108,27.169672,28.369801,9.535642,18.499668,33.674660,35.167919,17.117477,17.316364,26.590948,25.552958,19.431601,29.260159,27.658241,24.673054,22.238947,27.287954,23.958847,21.807516,12.165860,20.390800,23.627144,19.907764,26.107019,22.596741,15.951015,23.525162,15.431590,24.716824,19.089024,23.363405,31.903934,31.491215,30.941349,26.194998,25.254599,29.774727,26.409388,20.448509,19.172827,17.348787,26.666521,29.983534,25.378572,22.374109,32.412727,21.282883,19.549616,9.663280,25.321154,31.174625,37.417320,43.207008,20.306190,29.316229,25.721146,20.244625,23.880747,30.747416,20.267185,25.750326,26.210886,30.260735,36.697933,24.714088,23.738802,25.017464,19.407801,39.268822,34.231037,28.674097,20.060265,19.915104,22.151381,26.093601,28.884472,24.441942,29.236382,18.875927,36.058701,27.825266,26.358187,31.146004,28.015713,24.626339,23.145569,26.188770,16.219507,15.203779,17.231228,25.287941,29.629814,27.955433,36.183018,29.177061,30.784283,24.359346,23.090370,21.889893,17.705555,21.664042,17.341627,16.792904,25.881470,26.289696,20.974024,27.364496,28.957418,28.440250,27.193926,24.844755,31.500484,14.962914,26.190245,21.535625,20.061117,13.989289,38.066498,28.066769,25.113926,12.293084,7.365573,32.517708,24.492128,16.728420,20.933002,31.976784,26.030598,14.130249,23.179689,19.487503,28.759066,31.892090,9.781646,17.371620,24.373661,21.686890,23.833996,21.935104,22.012449,21.617857,22.298252,16.511377,24.573971,18.442266,29.296906,22.607653
2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,2025-02-07T01:20:00Z,2025-02-07T01:20:00+0000,21.129745,26.451143,22.514229,21.737614,15.786922,12.001731,31.076681,33.218151,31.101694,27.630470,28.935156,10.853943,18.483631,33.714767,35.154556,17.072489,17.005840,26.321306,25.657593,19.154402,28.923708,28.159485,24.621397,22.701550,27.545454,24.104837,21.883625,12.128988,19.921080,24.073639,20.165520,24.849758,22.454727,16.685669,23.909538,15.112761,24.558239,19.325321,24.026955,31.998764,32.475533,31.031380,26.162321,25.033854,29.427456,26.368534,20.656868,18.505371,17.606861,26.637396,29.840990,25.744896,22.573105,32.386459,21.153000,19.938694,9.654666,25.651152,31.013882,37.223888,42.943584,19.310839,29.228430,25.749329,20.354284,23.843864,31.290087,20.906260,25.861614,26.095715,29.959213,36.473797,24.945787,23.538790,25.347933,18.864132,39.175377,33.916626,28.955677,20.008568,19.722155,22.104706,26.213993,28.853344,24.618290,29.517864,19.233446,36.839039,28.593029,26.398022,31.097591,28.295622,22.981842,22.525623,26.409452,16.891029,14.754526,17.120134,25.382795,29.915279,28.181684,35.993111,29.315447,31.602432,25.282124,23.350201,22.403347,17.461224,21.525475,17.305061,17.067757,26.042732,26.575491,21.502718,27.011364,28.219248,28.442661,27.661804,25.360889,31.646122,15.024900,26.368065,21.325609,20.520546,14.180961,38.049110,27.854122,25.432884,12.213188,7.314286,32.409492,24.647514,16.679932,21.435389,32.478096,25.890781,14.468069,21.859001,19.371489,28.677101,32.051346,9.696609,17.207129,23.789389,21.379747,23.804478,20.365244,21.016264,20.826803,20.937391,16.467220,24.266029,18.462671,29.148741,22.652580
2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,21.182312,26.427906,22.335707,21.446907,16.537594,12.996152,31.252216,33.239151,30.903126,27.534130,28.786972,10.650996,18.358953,33.607704,34.790871,17.459904,17.172859,26.268940,25.519098,19.293903,28.740633,28.288641,24.508944,22.060804,27.444714,24.177366,21.847395,12.145901,20.879898,24.171457,19.977108,24.683699,22.658005,16.452871,23.805847,15.237164,23.208630,19.418936,24.470459,32.312553,32.026131,31.396507,27.278725,25.866974,30.735071,27.709593,20.169104,19.168507,17.631695,26.279634,29.743484,25.259653,22.240377,32.126755,21.077925,20.076746,9.508276,25.452126,30.775400,37.705875,42.964249,20.161570,29.224295,25.600967,20.205774,23.578413,30.756634,20.376673,26.066448,26.689800,30.420967,36.710899,25.022940,23.765854,24.928980,19.564312,39.349873,34.308937,28.934097,20.281410,19.902853,22.331120,26.411345,29.121059,24.678209,29.375074,19.199333,36.337654,28.021963,26.310120,30.748903,27.466030,23.789389,22.970554,26.413900,16.600277,15.521310,17.064365,25.476324,29.416718,28.018589,36.206028,28.862888,31.852776,25.963984,23.246153,22.378824,17.864483,21.925440,17.533833,17.006725,26.142685,26.274307,21.359095,26.867048,28.253115,28.289274,27.012215,25.069378,31.295033,14.844906,26.176067,21.466585,20.378222,14.090214,38.004513,28.331810,25.213249,12.330499,7.442114,32.469715,24.873859,16.452877,20.598351,31.980631,25.362352,14.435966,22.700335,19.408636,28.621387,31.877151,9.752021,17.296921,24.239815,21.565338,23.888186,20.579807,21.367826,21.165241,20.785154,16.581249,24.226530,18.450537,29.268141,22.909828
2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,20.527462,25.717365,22.543121,21.778931,15.867927,12.215913,31.062477,33.252483,31.062683,27.695240,28.484299,11.219206,18.495386,33.577038,34.711826,17.169897,16.827583,26.255512,25.306913,19.390814,28.177174,28.538015,24.741041,22.694864,27.384871,24.471210,21.946978,11.982693,20.107620,24.117556,20.100838,24.622358,22.275751,16.089352,23.291378,15.100355,23.671104,19.254147,23.605890,31.496437,32.577389,31.166672,26.629761,25.435228,30.279793,26.577566,20.257544,19.286598,17.456974,26.830341,29.802977,25.444235,22.386028,32.495636,21.055849,19.754482,9.698039,25.470381,30.490177,37.695724,43.005814,19.365488,29.065718,25.800423,20.563942,23.896729,30.897995,20.440430,26.197474,25.845839,29.710175,36.428402,24.686628,23.398924,25.152330,18.880379,38.986065,33.857513,28.763817,20.268410,20.005144,22.374306,26.211346,28.734415,24.360954,29.441351,18.926474,36.303749,27.609509,26.128498,31.359615,28.142120,22.745197,22.656054,26.297356,16.365494,14.695941,16.865374,25.088850,29.538040,28.115959,35.695900,29.143364,31.824665,25.722019,23.136076,22.262749,17.689564,21.746778,17.775869,16.909163,26.154343,26.319078,21.333399,27.058830,28.184994,28.413101,27.773983,25.126913,31.288961,14.875847,26.346125,21.449240,20.376289,14.103395,37.896172,27.874817,25.577215,12.209559,7.412528,32.186272,24.012194,16.733437,21.483912,32.186352,25.331409,14.328036,21.125010,19.437963,28.635120,32.016987,9.966348,17.416220,24.372490,21.661537,23.630985,20.727203,21.104801,20.995699,20.389896,16.363106,23.905870,18.378212,29.210808,22.805702
2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,21.171026,25.956051,22.475021,21.669247,16.157465,12.081285,31.291676,33.272655,31.024288,27.499601,28.258057,12.495956,18.888962,33.463074,34.078148,17.151871,17.007978,26.470772,25.240154,19.234896,28.543072,28.911852,24.892614,22.831434,27.475813,24.211967,21.684958,12.178553,20.526482,24.249903,19.789614,24.679213,22.218470,17.005644,23.980368,15.524611,23.936985,19.270979,24.266544,31.352978,31.282986,31.468258,28.198303,25.565401,30.501198,26.377544,20.005604,19.490860,17.585411,26.876341,30.124874,25.201584,22.360920,32.027603,21.109259,20.123777,9.616428,26.042315,30.789143,37.329987,42.729790,19.735144,29.572910,25.903259,20.078918,23.709229,30.875790,20.481518,26.200033,26.262455,30.141567,36.663849,24.477541,23.880783,24.679031,19.164646,39.046021,33.811699,28.264608,20.185408,19.863497,22.350420,26.213367,28.750957,24.228844,29.276102,19.011347,36.676311,27.960451,25.905876,31.023041,27.640072,22.765217,23.426762,26.522076,16.251909,15.516163,16.895645,25.368248,29.511974,27.881683,36.022110,28.703117,31.485344,25.058172,23.260679,22.409462,17.571762,21.385965,17.308636,16.779379,26.144926,25.809942,20.561811,26.670715,28.302837,28.039173,26.623314,25.088097,30.970425,14.756382,26.183647,21.390923,20.172863,14.008849,37.831203,28.034746,25.048265,12.456150,7.533700,32.102684,24.777161,16.743969,21.838736,32.113647,25.778709,14.069994,22.629026,19.325102,28.750950,31.866314,9.933672,17.174541,24.153107,21.574963,23.900747,21.359318,21.954838,21.425760,22.143579,16.464294,23.670977,18.371035,29.212410,22.951857
2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,20.808296,25.876572,22.141838,21.265207,16.479807,12.867033,31.266245,33.199356,30.938503,27.588694,28.524223,12.370507,18.597052,33.851139,34.680424,16.921776,16.791805,26.398933,25.378965,19.557131,28.684250,29.249321,24.837065,22.547258,27.506765,24.162998,21.516478,12.456186,19.826691,24.402740,20.458731,24.653692,22.326508,16.318420,23.603283,15.735814,24.149721,19.641657,23.287766,31.055260,32.448471,29.478252,26.868443,25.464979,31.219582,27.005173,20.293566,19.904076,18.403210,27.053139,30.149426,25.836161,22.671450,32.504524,21.174343,19.728947,9.764180,25.886452,30.483919,37.714275,43.031361,19.847929,29.415346,25.876232,20.023245,23.996012,30.964354,20.407593,26.042923,26.150867,29.956066,36.431877,24.567499,23.813190,25.100903,19.206461,39.187584,33.958069,28.087528,20.442261,19.815819,22.291845,26.095037,28.540569,23.948256,29.160969,18.537329,35.866741,27.660463,25.905455,29.105331,28.212629,22.534491,23.191586,26.267361,16.510679,14.667568,16.762409,25.105515,29.380806,28.120918,35.612461,28.927654,32.030762,25.683050,22.863930,22.075592,17.735256,21.727345,17.877033,16.557209,26.277494,26.926432,20.357677,26.504272,28.646891,27.819098,26.590458,25.012959,30.172663,14.625374,25.878128,21.452291,20.690845,14.411572,37.870800,27.956341,25.140358,12.477343,7.638685,32.149124,24.448767,16.627499,22.199236,32.108788,25.667952,14.352900,22.999386,19.368690,28.867933,31.713661,10.052698,17.122568,24.042637,21.329712,23.761999,22.724697,23.227411,21.786604,22.289362,16.235825,23.485130,18.692551,29.233753,22.546732
2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,20.900494,25.934011,22.546013,21.433233,15.702264,12.187630,31.359283,33.280724,31.194630,27.457005,27.922380,12.334544,19.531275,33.708263,34.515575,17.093626,16.950367,25.964338,25.069019,19.159430,28.851645,28.927912,24.673029,22.827658,27.391413,24.366493,21.884418,12.049368,19.820314,23.908897,19.862896,24.862352,22.484177,16.877939,23.427380,15.048961,24.515659,20.174538,23.475304,32.009453,31.875244,30.984064,28.853729,25.672819,30.814577,26.992487,19.629200,18.977230,17.758354,26.832432,29.915955,25.060312,22.615845,32.053802,20.879128,19.782484,9.754697,25.575260,30.887947,37.313225,43.032013,19.234852,29.186983,25.573860,19.651628,23.806217,30.911112,20.353531,26.688133,26.331409,30.111012,36.813293,24.143368,23.394547,24.879593,18.355865,38.962360,33.779675,28.368013,19.886953,19.670757,22.197439,26.343653,28.919350,24.356102,29.822525,19.527779,35.405540,29.266024,27.014545,31.656057,29.368244,22.611687,23.045063,26.242002,15.265674,14.653316,16.856201,25.501425,29.991280,28.266319,35.982182,28.889563,31.714869,25.270346,22.851948,22.061893,17.341171,21.230602,17.004282,17.120380,25.869980,26.676954,19.874466,25.860851,28.399403,28.592136,27.216961,25.110245,31.062386,14.654626,26.371601,21.713753,20.141304,13.862995,38.096176,28.026140,25.390110,12.515017,7.524455,32.406197,24.073339,17.042767,22.229824,31.896385,26.368584,15.113173,23.556791,19.563780,29.027092,31.920248,10.164954,17.407707,24.332413,21.720465,23.794119,22.110262,22.858307,22.086819,23.599558,16.532391,24.255285,18.403156,29.485157,22.827637
2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,20.772558,25.749657,22.559299,21.364511,16.102175,12.803811,31.261318,33.191311,31.337605,27.500225,28.100969,12.108288,18.482670,33.679447,34.948349,16.916262,17.079191,25.826134,25.557697,18.944084,28.971106,28.825085,24.599392,22.217169,27.043327,23.837929,21.537474,12.658141,20.096878,24.229555,20.254074,24.949551,22.122183,16.443645,23.080194,15.799702,25.212334,20.268051,23.698864,31.708279,32.234344,30.843699,27.825630,24.913101,30.611359,26.999268,20.172667,20.167601,18.414093,26.764551,29.621611,25.765036,22.851456,32.485039,21.285929,19.447416,9.870033,25.587626,30.862579,37.483940,43.237175,19.627563,29.162428,25.379305,20.060314,24.081678,30.898407,20.488052,25.899143,25.641754,30.041904,36.446156,24.304649,23.119581,24.894663,19.252228,38.865570,33.852966,27.914452,20.078081,19.667395,22.234945,25.804695,28.449228,23.832180,29.338451,18.717443,35.455376,28.342419,26.340805,29.624035,26.645630,23.551434,23.353048,26.208645,16.621906,14.719069,16.633148,24.985455,29.516357,27.689064,35.523876,28.564089,30.804993,24.300400,22.918352,22.059704,17.504282,21.366007,17.440340,16.429237,25.920258,26.321632,19.390156,26.582006,28.848745,27.915026,26.553993,25.021976,30.736158,14.865015,25.770170,21.527824,20.576763,14.202099,37.709488,27.865641,24.289553,12.402861,7.707841,31.959942,24.564995,16.462444,21.796408,31.543402,25.823856,14.821768,23.263489,19.293236,29.101389,31.816032,10.168158,17.142639,24.339062,21.124016,23.386444,20.614241,21.947235,20.872076,21.145245,16.287706,23.021843,18.593391,29.101446,22.240183
2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,21.294626,26.072931,22.554186,21.294874,15.954587,12.229350,31.572142,33.327404,30.951286,27.360058,28.067015,11.957234,17.911827,32.766594,33.944191,16.479366,16.895098,25.382368,25.231724,18.740217,28.618410,28.449692,24.213938,22.517244,27.190527,23.387720,21.465601,12.817771,20.011448,24.194138,20.059620,25.312729,21.967615,17.765823,23.540022,15.306683,25.326252,19.343279,23.428835,31.254021,31.661999,30.809158,27.836571,25.792719,30.815884,27.576328,19.905352,19.005362,17.631969,26.733940,29.923931,25.458733,22.800236,31.642071,20.705343,19.600557,9.888408,25.635199,30.381279,37.742428,43.201965,19.591902,29.503672,25.624310,18.499714,23.462553,30.784349,20.213360,25.903687,25.680574,29.794146,36.431599,24.408417,23.626469,24.845886,19.030178,38.754833,33.522739,28.356236,20.066679,19.604702,22.401443,26.109150,28.674284,24.331617,29.347385,18.808353,33.357536,27.693583,26.414421,32.322491,25.882072,21.489405,22.718193,26.252670,14.482918,14.839624,17.222969,24.898590,29.607349,27.688768,35.480076,28.329044,32.155300,25.559727,22.861853,21.721285,17.607355,21.691893,17.480659,16.885544,26.045624,26.471405,20.498549,26.768503,28.904867,28.696371,26.333815,25.252708,31.429985,14.821939,26.547256,21.408661,20.149519,14.025699,37.657871,27.739584,24.711870,12.412436,7.839774,31.963474,23.961105,16.892300,22.331676,31.750952,25.669685,14.829351,22.941841,19.343565,29.246664,31.838614,10.426647,16.888474,23.723713,21.041368,23.541130,21.337643,22.337719,20.886637,21.890808,16.495144,23.803104,18.494146,28.702276,22.555552
